layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735783200,1735783440,short,3.609,3.61828389920669,STOP_LOSS_HARD,-92.84
L1,1735826400,1735826520,long,3.706,3.69671610079331,STOP_LOSS_HARD,-92.84
L1,1735869600,1735870140,long,3.561,3.5802861210075,TAKE_PROFIT_HARD,192.86
L1,1736100000,1736100000,short,3.368,3.554,STOP_LOSS_HARD,-1860.0
L1,1736143200,1736143320,long,3.628,3.61871610079331,STOP_LOSS_HARD,-92.84
L1,1736150400,1736150640,long,3.605,3.6242861210075,TAKE_PROFIT_HARD,192.86
L1,1736215200,1736215380,long,3.574,3.56471610079331,STOP_LOSS_HARD,-92.84
L1,1736236800,1736237040,short,3.614,3.62328389920669,STOP_LOSS_HARD,-92.84
L1,1736258400,1736259120,long,3.466,3.4852861210075003,TAKE_PROFIT_HARD,192.86
L1,1736352000,1736353260,short,3.689,3.6697138789925,TAKE_PROFIT_HARD,192.86
L1,1736373600,1736374080,long,3.62,3.61071610079331,STOP_LOSS_HARD,-92.84
L1,1736416800,1736416920,short,3.732,3.7127138789925,TAKE_PROFIT_HARD,192.86
L1,1736424000,1736424180,short,3.756,3.7652838992066897,STOP_LOSS_HARD,-92.84
L1,1736452800,1736457180,long,3.687,3.7062861210075,TAKE_PROFIT_HARD,192.86
L1,1736496000,1736496180,long,3.83,3.82071610079331,STOP_LOSS_HARD,-92.84
L1,1736740800,1736742900,short,4.193,4.1737138789924995,TAKE_PROFIT_HARD,192.86
L1,1736812800,1736814240,short,3.956,3.96528389920669,STOP_LOSS_HARD,-92.84
L1,1736827200,1736827440,long,3.804,3.79471610079331,STOP_LOSS_HARD,-92.84
L1,1736841600,1736841600,long,3.758,3.7772861210075,TAKE_PROFIT_HARD,192.86
L1,1736884800,1736885040,long,3.901,3.89171610079331,STOP_LOSS_HARD,-92.84
L1,1736928000,1736928000,long,3.887,3.87771610079331,STOP_LOSS_HARD,-92.84
L1,1736971200,1736972340,long,4.096,4.08671610079331,STOP_LOSS_HARD,-92.84
L1,1736992800,1736992800,short,4.056,4.06528389920669,STOP_LOSS_HARD,-92.84
L1,1737064800,1737066600,long,4.251,4.24171610079331,STOP_LOSS_HARD,-92.84
L1,1737072000,1737073200,long,4.237,4.22771610079331,STOP_LOSS_HARD,-92.84
L1,1737100800,1737100800,long,4.08,4.07071610079331,STOP_LOSS_HARD,-92.84
L1,1737309600,1737309600,long,3.916,3.815,STOP_LOSS_HARD,-1010.0
L1,1737403200,1737408180,long,3.793,3.8122861210075003,TAKE_PROFIT_HARD,192.86
L1,1737432000,1737434280,long,3.88,3.87071610079331,STOP_LOSS_HARD,-92.84
L1,1737439200,1737439380,long,3.861,3.8517161007933103,STOP_LOSS_HARD,-92.84
L1,1737446400,1737446460,long,3.816,3.80671610079331,STOP_LOSS_HARD,-92.84
L1,1737460800,1737461760,long,3.753,3.74371610079331,STOP_LOSS_HARD,-92.84
L1,1737475200,1737476760,short,3.78,3.7892838992066897,STOP_LOSS_HARD,-92.84
L1,1737518400,1737525780,short,3.786,3.79528389920669,STOP_LOSS_HARD,-92.84
L1,1737532800,1737533040,long,3.724,3.7432861210075004,TAKE_PROFIT_HARD,192.86
L1,1737540000,1737540000,short,3.806,3.81528389920669,STOP_LOSS_HARD,-92.84
L1,1737554400,1737554400,short,3.958,3.96728389920669,STOP_LOSS_HARD,-92.84
L1,1737604800,1737612780,long,3.476,3.4952861210075,TAKE_PROFIT_HARD,192.86
