layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1736130900,1736135100,long,21574.5,21600.224761594,TAKE_PROFIT_HARD,514.5
L1,1736726400,1736728200,long,20898.5,20871.8566083564,STOP_LOSS_HARD,-532.87
L1,1737060000,1737062520,long,21255.0,21280.724761594,TAKE_PROFIT_HARD,514.5
L1,1737335700,1737337860,long,21573.5,21599.224761594,TAKE_PROFIT_HARD,514.5
L1,1737491400,1737498900,long,21830.25,21848.75,TIME_CAP,370.0
L1,1737579900,1737583320,short,21937.75,21960.25,STOP_LOSS_SOFT,-450.0
L1,1737596700,1737600840,short,21939.5,21913.775238406,TAKE_PROFIT_HARD,514.5
L1,1738096500,1738104000,long,21574.25,21570.25,TIME_CAP,-80.0
L1,1738111500,1738112400,short,21583.25,21609.8933916436,STOP_LOSS_HARD,-532.87
L1,1739143500,1739147640,long,21700.5,21726.224761594,TAKE_PROFIT_HARD,514.5
L1,1739204100,1739205900,short,21826.25,21837.0,END_OF_DAY,-215.0
L1,1739218800,1739222220,short,21801.75,21776.025238406,TAKE_PROFIT_HARD,514.5
L1,1739544300,1739547120,short,22170.25,22196.8933916436,STOP_LOSS_HARD,-532.87
L1,1740039300,1740043860,long,22198.5,22224.224761594,TAKE_PROFIT_HARD,514.5
L1,1741222800,1741224660,short,20611.25,20637.8933916436,STOP_LOSS_HARD,-532.87
L1,1741915200,1741915380,long,19451.75,19429.0,STOP_LOSS_SOFT,-455.0
L1,1742254800,1742258460,short,19950.75,19925.025238406,TAKE_PROFIT_HARD,514.5
L1,1742951400,1742953740,long,20488.0,20464.75,STOP_LOSS_SOFT,-465.0
L1,1742957100,1742959680,long,20464.5,20490.224761594,TAKE_PROFIT_HARD,514.5
L1,1742959800,1742961960,long,20490.5,20463.8566083564,STOP_LOSS_HARD,-532.87
L1,1742973300,1742980800,long,20468.75,20458.0,TIME_CAP,-215.0
L1,1744754400,1744757580,long,18707.0,18680.3566083564,STOP_LOSS_HARD,-532.87
L1,1746054900,1746056100,long,19928.5,19954.224761594,TAKE_PROFIT_HARD,514.5
L1,1746475200,1746476760,short,20008.25,19982.525238406,TAKE_PROFIT_HARD,514.5
L1,1747368300,1747370160,long,21447.25,21472.974761594,TAKE_PROFIT_HARD,514.5
L1,1747869600,1747877100,long,21174.75,21174.5,TIME_CAP,-5.0
L1,1747943700,1747946220,long,21177.75,21203.474761594,TAKE_PROFIT_HARD,514.5
L1,1747951800,1747956060,long,21175.75,21201.474761594,TAKE_PROFIT_HARD,514.5
L1,1748221500,1748226540,short,21213.75,21240.3933916436,STOP_LOSS_HARD,-532.87
L1,1748901900,1748903100,short,21480.5,21454.775238406,TAKE_PROFIT_HARD,514.5
L1,1749015900,1749023400,long,21743.5,21749.25,TIME_CAP,115.0
