layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735832640,1735832700,short,2246.1,2244.80919471223,TAKE_PROFIT_HARD,64.54
L1,1735915200,1735915500,long,2283.5,2282.19899080858,STOP_LOSS_HARD,-65.05
L1,1735918800,1735919160,long,2283.4,2284.69080528777,TAKE_PROFIT_HARD,64.54
L1,1736148000,1736148120,short,2305.7,2307.0010091914196,STOP_LOSS_HARD,-65.05
L1,1736149680,1736149800,short,2313.2,2311.9091947122297,TAKE_PROFIT_HARD,64.54
L1,1736151240,1736151720,long,2306.7,2307.99080528777,TAKE_PROFIT_HARD,64.54
L1,1736152560,1736153100,long,2306.6,2307.89080528777,TAKE_PROFIT_HARD,64.54
L1,1736154840,1736154840,long,2306.9,2308.19080528777,TAKE_PROFIT_HARD,64.54
L1,1736165160,1736165220,long,2305.7,2306.99080528777,TAKE_PROFIT_HARD,64.54
L1,1736165280,1736165280,short,2306.7,2308.0010091914196,STOP_LOSS_HARD,-65.05
L1,1736165760,1736165760,long,2305.4,2306.69080528777,TAKE_PROFIT_HARD,64.54
L1,1736174280,1736174580,long,2292.8,2291.4989908085804,STOP_LOSS_HARD,-65.05
L1,1736174640,1736174880,long,2291.9,2293.19080528777,TAKE_PROFIT_HARD,64.54
L1,1736240760,1736241000,long,2292.7,2293.99080528777,TAKE_PROFIT_HARD,64.54
L1,1736241960,1736242200,long,2292.0,2293.29080528777,TAKE_PROFIT_HARD,64.54
L1,1736253600,1736253660,long,2263.0,2264.29080528777,TAKE_PROFIT_HARD,64.54
L1,1736255160,1736255160,long,2263.8,2265.0908052877703,TAKE_PROFIT_HARD,64.54
L1,1736256000,1736256120,short,2269.8,2271.10100919142,STOP_LOSS_HARD,-65.05
L1,1736259480,1736259540,long,2262.9,2264.19080528777,TAKE_PROFIT_HARD,64.54
L1,1736259720,1736259780,long,2263.4,2262.0989908085803,STOP_LOSS_HARD,-65.05
L1,1736260800,1736260980,long,2262.9,2264.19080528777,TAKE_PROFIT_HARD,64.54
L1,1736261400,1736261400,long,2263.3,2264.5908052877703,TAKE_PROFIT_HARD,64.54
L1,1736268840,1736269140,long,2263.1,2263.8,END_OF_DAY,35.0
L1,1736276760,1736277060,long,2263.5,2264.79080528777,TAKE_PROFIT_HARD,64.54
L1,1736284080,1736285460,short,2269.6,2268.3,TAKE_PROFIT_HARD,65.0
L1,1736298600,1736299740,short,2269.2,2267.9091947122297,TAKE_PROFIT_HARD,64.54
L1,1736303520,1736303940,long,2263.8,2265.0908052877703,TAKE_PROFIT_HARD,64.54
L1,1736307720,1736308020,short,2269.6,2268.30919471223,TAKE_PROFIT_HARD,64.54
L1,1736316720,1736316840,long,2262.6,2261.29899080858,STOP_LOSS_HARD,-65.05
L1,1736319360,1736319360,short,2250.3,2251.60100919142,STOP_LOSS_HARD,-65.05
L1,1736326800,1736326800,short,2250.3,2251.60100919142,STOP_LOSS_HARD,-65.05
L1,1736336400,1736336400,short,2249.8,2248.50919471223,TAKE_PROFIT_HARD,64.54
L1,1736339520,1736339520,long,2235.8,2237.0908052877703,TAKE_PROFIT_HARD,64.54
L1,1736347320,1736347320,short,2250.9,2249.60919471223,TAKE_PROFIT_HARD,64.54
L1,1736364120,1736364480,short,2250.0,2248.70919471223,TAKE_PROFIT_HARD,64.54
L1,1736366280,1736368620,short,2249.8,2248.50919471223,TAKE_PROFIT_HARD,64.54
L1,1736393280,1736393580,short,2249.8,2251.10100919142,STOP_LOSS_HARD,-65.05
L1,1736409360,1736409540,short,2250.1,2251.4010091914197,STOP_LOSS_HARD,-65.05
L1,1736450400,1736450880,long,2235.5,2236.9,TAKE_PROFIT_HARD,70.0
L1,1736451000,1736452020,long,2236.1,2237.39080528777,TAKE_PROFIT_HARD,64.54
L1,1736452800,1736452920,long,2236.0,2237.29080528777,TAKE_PROFIT_HARD,64.54
L1,1736495400,1736495460,short,2250.1,2251.4010091914197,STOP_LOSS_HARD,-65.05
L1,1736496960,1736497200,short,2250.1,2248.80919471223,TAKE_PROFIT_HARD,64.54
L1,1736514720,1736514840,short,2202.5,2201.20919471223,TAKE_PROFIT_HARD,64.54
L1,1736713200,1736713800,long,2188.8,2187.4989908085804,STOP_LOSS_HARD,-65.05
L1,1736723520,1736723760,short,2179.3,2178.00919471223,TAKE_PROFIT_HARD,64.54
