layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735840800,1735900560,long,2249.7,2270.4264114052,TAKE_PROFIT_HARD,1036.32
L1,1736172000,1736181900,short,2295.2,2284.7,END_OF_DAY,525.0
L1,1736186400,1736242320,short,2285.8,2299.2,STOP_LOSS_SOFT,-670.0
L1,1736272800,1736318340,short,2263.8,2243.0735885948,TAKE_PROFIT_HARD,1036.32
L1,1736359200,1736391780,long,2254.6,2244.7,STOP_LOSS_SOFT,-495.0
L1,1736776800,1736786700,long,2195.1,2208.8,END_OF_DAY,685.0
L1,1736791200,1736843400,long,2209.3,2230.0264114052,TAKE_PROFIT_HARD,1036.32
L1,1736877600,1736929800,long,2237.3,2258.0264114052,TAKE_PROFIT_HARD,1036.32
L1,1736949600,1736959500,short,2275.2,2276.4,END_OF_DAY,-60.0
L1,1737367200,1737368580,long,2324.8,2313.8,STOP_LOSS_SOFT,-550.0
L1,1737453600,1737475140,long,2311.7,2332.4264114052,TAKE_PROFIT_HARD,1036.32
L1,1737612000,1737630900,short,2307.4,2318.0,STOP_LOSS_SOFT,-530.0
L1,1737727200,1737737100,long,2321.8,2319.1,END_OF_DAY,-135.0
L1,1737957600,1737964020,short,2288.8,2297.4,STOP_LOSS_SOFT,-430.0
L1,1738000800,1738011540,long,2296.6,2285.3,STOP_LOSS_SOFT,-565.0
L1,1738044000,1738064160,long,2295.2,2285.8,STOP_LOSS_SOFT,-470.0
L1,1738188000,1738246560,long,2308.7,2326.9,TIME_CAP,910.0
L1,1738562400,1738577700,long,2246.3,2237.8,STOP_LOSS_SOFT,-425.0
L1,1738692000,1738750080,long,2301.8,2305.1,TIME_CAP,165.0
L1,1738764000,1738773900,long,2319.9,2325.9,END_OF_DAY,300.0
L1,1739138400,1739197380,long,2292.4,2301.5,TIME_CAP,455.0
L1,1739512800,1739523780,short,2287.3,2296.4,STOP_LOSS_SOFT,-455.0
L1,1739527200,1739528940,long,2301.6,2291.3,STOP_LOSS_SOFT,-515.0
L1,1739901600,1739943420,long,2297.0,2288.3,STOP_LOSS_SOFT,-435.0
L1,1740002400,1740045660,short,2280.3,2259.5735885948,TAKE_PROFIT_HARD,1036.32
L1,1740146400,1740156300,short,2205.1,2198.6,END_OF_DAY,325.0
L1,1740405600,1740410700,long,2200.7,2192.2,STOP_LOSS_SOFT,-425.0
L1,1740434400,1740450600,long,2191.6,2182.9,STOP_LOSS_SOFT,-435.0
L1,1740492000,1740496800,short,2175.3,2185.2,STOP_LOSS_SOFT,-495.0
L1,1740564000,1740573600,long,2200.4,2189.6,STOP_LOSS_SOFT,-540.0
L1,1740607200,1740646320,long,2186.4,2177.3,STOP_LOSS_SOFT,-455.0
L1,1740664800,1740666540,long,2170.9,2159.5,STOP_LOSS_SOFT,-570.0
L1,1740938400,1740939180,long,2163.8,2184.5264114052,TAKE_PROFIT_HARD,1036.32
L1,1741111200,1741162740,long,2102.5,2091.1,STOP_LOSS_SOFT,-570.0
L1,1741644000,1741645020,short,2017.4,2028.9,STOP_LOSS_SOFT,-575.0
L1,1741672800,1741682880,long,2044.2,2035.3,STOP_LOSS_SOFT,-445.0
L1,1741888800,1741944960,long,2001.1,2021.8264114052,TAKE_PROFIT_HARD,1036.32
L1,1741960800,1741970700,long,2034.5,2039.1,END_OF_DAY,230.0
L1,1742205600,1742221920,long,2070.1,2090.8264114052,TAKE_PROFIT_HARD,1036.32
L1,1742234400,1742253480,long,2083.4,2074.8,STOP_LOSS_SOFT,-430.0
L1,1742407200,1742451180,long,2100.5,2090.7,STOP_LOSS_SOFT,-490.0
L1,1742508000,1742521140,long,2088.9,2079.8,STOP_LOSS_SOFT,-455.0
L1,1742565600,1742575500,long,2073.5,2075.1,END_OF_DAY,80.0
L1,1742824800,1742834700,long,2117.0,2122.8,END_OF_DAY,290.0
L1,1742839200,1742876160,long,2121.9,2113.3,STOP_LOSS_SOFT,-430.0
L1,1742896800,1742921100,short,2115.5,2114.2,END_OF_DAY,65.0
L1,1742983200,1742988480,long,2109.3,2097.7,STOP_LOSS_SOFT,-580.0
L1,1743012000,1743013020,long,2089.0,2078.5,STOP_LOSS_SOFT,-525.0
L1,1743127200,1743134100,long,2087.0,2077.0,STOP_LOSS_SOFT,-500.0
L1,1743170400,1743180300,short,2032.4,2031.3,END_OF_DAY,55.0
L1,1743429600,1743435720,long,2014.6,2035.3264114052,TAKE_PROFIT_HARD,1036.32
L1,1743516000,1743517080,long,2021.3,2011.7,STOP_LOSS_SOFT,-480.0
L1,1743746400,1743747060,short,1896.6,1875.8735885948,TAKE_PROFIT_HARD,1036.32
L1,1744840800,1744875360,long,1885.9,1875.2,STOP_LOSS_SOFT,-535.0
L1,1745258400,1745289900,long,1847.2,1867.9264114052,TAKE_PROFIT_HARD,1036.32
L1,1745330400,1745336700,long,1882.0,1902.7264114052,TAKE_PROFIT_HARD,1036.32
L1,1745373600,1745400060,long,1933.9,1954.6264114052,TAKE_PROFIT_HARD,1036.32
L1,1745503200,1745513100,long,1960.4,1964.3,END_OF_DAY,195.0
L1,1745560800,1745599500,short,1958.0,1964.6,END_OF_DAY,-330.0
L1,1745805600,1745832540,long,1946.8,1967.5264114052,TAKE_PROFIT_HARD,1036.32
L1,1745848800,1745852580,short,1954.8,1964.1,STOP_LOSS_SOFT,-465.0
L1,1745906400,1745909340,long,1975.8,1966.7,STOP_LOSS_SOFT,-455.0
L1,1745935200,1745945100,long,1988.2,1986.6,END_OF_DAY,-80.0
L1,1745992800,1746000960,long,1986.4,1975.4,STOP_LOSS_SOFT,-550.0
L1,1746021600,1746031500,long,1963.2,1970.4,END_OF_DAY,360.0
L1,1746180000,1746187260,long,2006.7,2027.4264114052,TAKE_PROFIT_HARD,1036.32
L1,1746194400,1746204300,long,2031.1,2026.7,END_OF_DAY,-220.0
L1,1746381600,1746394800,short,2028.3,2007.5735885948,TAKE_PROFIT_HARD,1036.32
L1,1746439200,1746463500,long,2010.7,2010.8,END_OF_DAY,5.0
L1,1746511200,1746530460,short,1992.4,2001.0,STOP_LOSS_SOFT,-430.0
L1,1746568800,1746584880,long,2008.8,2000.3,STOP_LOSS_SOFT,-425.0
L1,1746655200,1746686940,long,2005.2,2025.9264114052,TAKE_PROFIT_HARD,1036.32
L1,1746712800,1746722700,long,2039.3,2032.1,END_OF_DAY,-360.0
L1,1747087200,1747115520,short,2091.0,2099.5,STOP_LOSS_SOFT,-425.0
L1,1747332000,1747393140,long,2104.0,2102.8,TIME_CAP,-60.0
L1,1747648800,1747673100,long,2091.6,2107.9,END_OF_DAY,815.0
L1,1747893600,1747902240,short,2049.6,2028.8735885948,TAKE_PROFIT_HARD,1036.32
L1,1747936800,1747986240,short,2053.7,2032.9735885947998,TAKE_PROFIT_HARD,1036.32
L1,1748253600,1748257560,long,2066.7,2058.2,STOP_LOSS_SOFT,-425.0
L1,1748311200,1748346180,long,2065.6,2086.3264114052,TAKE_PROFIT_HARD,1036.32
L1,1748354400,1748364300,long,2094.3,2096.3,END_OF_DAY,100.0
L1,1748455200,1748458500,short,2070.2,2080.5,STOP_LOSS_SOFT,-515.0
L1,1748599200,1748599860,short,2055.5,2064.6,STOP_LOSS_SOFT,-455.0
L1,1748872800,1748882700,long,2065.2,2074.3,END_OF_DAY,455.0
L1,1749002400,1749031680,long,2107.9,2099.4,STOP_LOSS_SOFT,-425.0
L1,1749132000,1749136620,long,2109.7,2095.4,STOP_LOSS_SOFT,-715.0
L1,1749160800,1749201300,long,2109.0,2129.7264114052,TAKE_PROFIT_HARD,1036.32
L1,1749204000,1749228300,long,2125.2,2134.8,END_OF_DAY,480.0
L1,1749520800,1749544920,short,2149.8,2158.7,STOP_LOSS_SOFT,-445.0
L1,1749679200,1749724020,short,2134.0,2143.6,STOP_LOSS_SOFT,-480.0
L1,1749751200,1749758400,short,2137.6,2116.8735885948,TAKE_PROFIT_HARD,1036.32
L1,1749794400,1749817080,long,2106.2,2126.9264114052,TAKE_PROFIT_HARD,1036.32
L1,1750096800,1750099620,long,2143.7,2132.5,STOP_LOSS_SOFT,-560.0
L1,1750168800,1750178700,short,2125.5,2118.2,END_OF_DAY,365.0
L1,1750240800,1750255200,long,2124.9,2145.6264114052,TAKE_PROFIT_HARD,1036.32
L1,1750327200,1750337940,short,2099.2,2094.8,END_OF_DAY,220.0
L1,1750370400,1750401600,long,2115.3,2136.0264114052,TAKE_PROFIT_HARD,1036.32
L1,1750716000,1750758720,long,2169.8,2160.3,STOP_LOSS_SOFT,-475.0
L1,1750903200,1750941240,long,2156.0,2176.7264114052,TAKE_PROFIT_HARD,1036.32
L1,1750975200,1750991640,short,2186.6,2195.6,STOP_LOSS_SOFT,-450.0
L1,1751018400,1751020740,short,2191.5,2200.0,STOP_LOSS_SOFT,-425.0
L1,1751220000,1751222040,short,2189.0,2197.8,STOP_LOSS_SOFT,-440.0
L1,1751392800,1751410680,short,2214.1,2222.8,STOP_LOSS_SOFT,-435.0
L1,1751450400,1751452200,short,2215.5,2225.6,STOP_LOSS_SOFT,-505.0
L1,1751464800,1751474700,long,2234.6,2247.1,END_OF_DAY,625.0
L1,1751479200,1751531400,long,2246.0,2266.7264114052,TAKE_PROFIT_HARD,1036.32
L1,1751896800,1751906700,short,2231.0,2222.1,END_OF_DAY,445.0
L1,1752040800,1752075300,long,2245.8,2266.5264114052,TAKE_PROFIT_HARD,1036.32
L1,1752472800,1752502020,long,2239.5,2260.2264114052,TAKE_PROFIT_HARD,1036.32
L1,1752530400,1752533160,long,2266.2,2257.3,STOP_LOSS_SOFT,-445.0
L1,1752660000,1752664800,long,2223.4,2213.9,STOP_LOSS_SOFT,-475.0
L1,1752688800,1752738420,long,2237.9,2228.4,STOP_LOSS_SOFT,-475.0
L1,1752746400,1752770700,long,2256.6,2269.3,END_OF_DAY,635.0
L1,1752818400,1752827100,short,2270.0,2279.3,STOP_LOSS_SOFT,-465.0
L1,1752847200,1752857100,short,2253.3,2251.1,END_OF_DAY,110.0
L1,1753178400,1753190880,long,2237.5,2258.2264114052,TAKE_PROFIT_HARD,1036.32
L1,1753308000,1753359240,short,2290.4,2269.6735885948,TAKE_PROFIT_HARD,1036.32
L1,1753365600,1753375500,short,2272.5,2267.0,END_OF_DAY,275.0
L1,1753380000,1753438980,short,2267.8,2252.7,TIME_CAP,755.0
L1,1753797600,1753807500,short,2256.4,2255.5,END_OF_DAY,45.0
L1,1753898400,1753920360,short,2227.0,2235.6,STOP_LOSS_SOFT,-430.0
L1,1753941600,1753960320,long,2235.0,2226.3,STOP_LOSS_SOFT,-435.0
L1,1754316000,1754325900,long,2208.0,2226.6,END_OF_DAY,930.0
L1,1754488800,1754498700,long,2225.6,2229.8,END_OF_DAY,210.0
L1,1754661600,1754671500,long,2228.1,2232.3,END_OF_DAY,210.0
L1,1755007200,1755017100,long,2279.4,2291.8,END_OF_DAY,620.0
L1,1755021600,1755078180,long,2292.9,2305.9,TIME_CAP,650.0
L1,1755108000,1755160200,long,2332.9,2314.1145716991,STOP_LOSS_HARD,-939.27
L1,1755554400,1755597840,short,2298.8,2311.1,STOP_LOSS_SOFT,-615.0
L1,1755698400,1755699360,long,2273.8,2264.7,STOP_LOSS_SOFT,-455.0
