layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1736146800,1736150280,short,30.88,30.875,TIME_CAP,25.0
L1,1736161200,1736163060,short,30.625,30.715,STOP_LOSS_SOFT,-450.0
L1,1736233200,1736236680,short,30.84,30.87,TIME_CAP,-150.0
L1,1736265600,1736268300,long,30.655,30.67,END_OF_DAY,75.0
L1,1736305200,1736308680,long,30.64,30.68,TIME_CAP,200.0
L1,1736377200,1736380980,long,30.725,30.765,TIME_CAP,200.0
L1,1736395200,1736398680,short,30.89,30.9,TIME_CAP,-50.0
L1,1736751600,1736751780,long,30.69,30.54,STOP_LOSS_SOFT,-750.0
L1,1736798400,1736799720,long,30.32,30.24,STOP_LOSS_SOFT,-400.0
L1,1736830800,1736834400,long,30.32,30.315,TIME_CAP,-25.0
L1,1736870400,1736873100,short,30.54,30.545,END_OF_DAY,-25.0
L1,1736920800,1736923080,long,30.755,30.67,STOP_LOSS_SOFT,-425.0
L1,1737010800,1737010920,long,31.855,31.775,STOP_LOSS_SOFT,-400.0
L1,1737547200,1737550680,short,31.365,31.39,TIME_CAP,-125.0
L1,1737691200,1737694680,short,31.36,31.32,TIME_CAP,200.0
L1,1737925200,1737926100,long,30.77,30.68,STOP_LOSS_SOFT,-450.0
L1,1737950400,1737950880,short,30.635,30.725,STOP_LOSS_SOFT,-450.0
L1,1737993600,1737996300,short,30.545,30.58,END_OF_DAY,-175.0
L1,1738044000,1738047660,short,30.55,30.56,TIME_CAP,-50.0
L1,1738058400,1738059600,long,30.57,30.733697896774,TAKE_PROFIT_HARD,818.49
L1,1738162800,1738163460,short,31.495,31.575,STOP_LOSS_SOFT,-400.0
L1,1738339200,1738341900,short,32.235,32.235,END_OF_DAY,0.0
L1,1738551600,1738552920,long,31.925,32.088697896774,TAKE_PROFIT_HARD,818.49
L1,1738569600,1738573080,short,32.32,32.27,TIME_CAP,250.0
L1,1738839600,1738840620,short,32.555,32.645,STOP_LOSS_SOFT,-450.0
L1,1739271600,1739275080,short,32.35,32.315,TIME_CAP,175.0
L1,1739419200,1739422680,long,32.79,32.84,TIME_CAP,250.0
L1,1739505600,1739508840,short,33.975,34.06,STOP_LOSS_SOFT,-425.0
