layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735768800,1735800840,long,42987.0,43151.86389623,TAKE_PROFIT_HARD,824.32
L1,1735822800,1735831920,short,42613.0,42758.0,STOP_LOSS_SOFT,-725.0
L1,1736164800,1736167320,long,43402.0,43253.0,STOP_LOSS_SOFT,-745.0
L1,1736172000,1736178480,short,43068.0,42903.13610377,TAKE_PROFIT_HARD,824.32
L1,1736326800,1736328900,long,42832.0,42699.0,STOP_LOSS_SOFT,-665.0
L1,1736456400,1736497800,long,42751.0,42447.140870274,STOP_LOSS_HARD,-1519.3
L1,1736503200,1736503260,short,42480.0,42315.13610377,TAKE_PROFIT_HARD,824.32
L1,1736506800,1736515680,short,42265.0,42390.0,STOP_LOSS_SOFT,-625.0
L1,1736776800,1736786700,long,42445.0,42546.0,END_OF_DAY,505.0
L1,1736856000,1736859180,short,42388.0,42530.0,STOP_LOSS_SOFT,-710.0
L1,1737342000,1737365460,long,43755.0,43919.86389623,TAKE_PROFIT_HARD,824.32
L1,1737367200,1737369060,long,43947.0,43806.0,STOP_LOSS_SOFT,-705.0
L1,1737370800,1737377940,short,43815.0,43862.0,END_OF_DAY,-235.0
L1,1737518400,1737559740,long,44303.0,44373.0,TIME_CAP,350.0
L1,1737954000,1737970200,long,44237.0,44401.86389623,TAKE_PROFIT_HARD,824.32
L1,1737972000,1737980520,long,44511.0,44675.86389623,TAKE_PROFIT_HARD,824.32
L1,1737986400,1737988140,long,44731.0,44895.86389623,TAKE_PROFIT_HARD,824.32
L1,1738062000,1738063560,long,45130.0,44998.0,STOP_LOSS_SOFT,-660.0
L1,1738141200,1738145220,short,44971.0,45108.0,STOP_LOSS_SOFT,-685.0
L1,1738224000,1738230540,short,44842.0,44995.0,STOP_LOSS_SOFT,-765.0
L1,1738245600,1738251600,long,45148.0,44893.0,STOP_LOSS_SOFT,-1275.0
L1,1738332000,1738341900,short,44819.0,44682.0,END_OF_DAY,685.0
L1,1738533600,1738552860,short,44055.0,44183.0,STOP_LOSS_SOFT,-640.0
L1,1738555200,1738568700,long,44173.0,44041.0,STOP_LOSS_SOFT,-660.0
L1,1738580400,1738593900,long,44555.0,44719.86389623,TAKE_PROFIT_HARD,824.32
L1,1738605600,1738618740,long,44751.0,44624.0,STOP_LOSS_SOFT,-635.0
L1,1738620000,1738627560,short,44619.0,44454.13610377,TAKE_PROFIT_HARD,824.32
L1,1738803600,1738836480,long,45102.0,44977.0,STOP_LOSS_SOFT,-625.0
L1,1738839600,1738852260,short,44870.0,44705.13610377,TAKE_PROFIT_HARD,824.32
L1,1738929600,1738941420,short,44550.0,44385.13610377,TAKE_PROFIT_HARD,824.32
L1,1739271600,1739292300,long,44602.0,44696.0,END_OF_DAY,470.0
L1,1739358000,1739358780,long,44437.0,44301.0,STOP_LOSS_SOFT,-680.0
L1,1739422800,1739438940,long,44446.0,44610.86389623,TAKE_PROFIT_HARD,824.32
L1,1739548800,1739551500,short,44637.0,44626.0,END_OF_DAY,55.0
L1,1740049200,1740069900,short,44159.0,44251.0,END_OF_DAY,-460.0
L1,1740132000,1740141420,short,43884.0,43719.13610377,TAKE_PROFIT_HARD,824.32
L1,1740391200,1740396420,short,43520.0,43672.0,STOP_LOSS_SOFT,-760.0
L1,1740466800,1740475800,long,43514.0,43678.86389623,TAKE_PROFIT_HARD,824.32
L1,1740531600,1740562320,long,43784.0,43635.0,STOP_LOSS_SOFT,-745.0
L1,1740574800,1740578160,short,43553.0,43388.13610377,TAKE_PROFIT_HARD,824.32
L1,1740582000,1740588300,long,43444.0,43500.0,END_OF_DAY,280.0
L1,1740603600,1740617520,long,43447.0,43611.86389623,TAKE_PROFIT_HARD,824.32
L1,1740668400,1740671940,short,43444.0,43279.13610377,TAKE_PROFIT_HARD,824.32
L1,1740758400,1740761100,long,43889.0,43851.0,END_OF_DAY,-190.0
L1,1741100400,1741102440,long,43016.0,42873.0,STOP_LOSS_SOFT,-715.0
L1,1741179600,1741181520,long,42904.0,42735.0,STOP_LOSS_SOFT,-845.0
L1,1741258800,1741261800,long,42926.0,42756.0,STOP_LOSS_SOFT,-850.0
L1,1741582800,1741584780,short,42387.0,42528.0,STOP_LOSS_SOFT,-705.0
L1,1741586400,1741594260,long,42482.0,42346.0,STOP_LOSS_SOFT,-680.0
L1,1741600800,1741602900,long,42551.0,42406.0,STOP_LOSS_SOFT,-725.0
L1,1741604400,1741609080,short,42456.0,42291.13610377,TAKE_PROFIT_HARD,824.32
L1,1741615200,1741618380,short,42037.0,41872.13610377,TAKE_PROFIT_HARD,824.32
L1,1741618800,1741620360,short,41800.0,41998.0,STOP_LOSS_SOFT,-990.0
L1,1741683600,1741685700,short,41918.0,41753.13610377,TAKE_PROFIT_HARD,824.32
L1,1741867200,1741872900,short,40926.0,40761.13610377,TAKE_PROFIT_HARD,824.32
L1,1741928400,1741945560,long,41075.0,41239.86389623,TAKE_PROFIT_HARD,824.32
L1,1741953600,1741955280,long,41472.0,41323.0,STOP_LOSS_SOFT,-745.0
L1,1742158800,1742201820,long,41693.0,41774.0,TIME_CAP,405.0
L1,1742202000,1742203980,long,41780.0,41944.86389623,TAKE_PROFIT_HARD,824.32
L1,1742205600,1742218440,long,42031.0,42195.86389623,TAKE_PROFIT_HARD,824.32
L1,1742356800,1742376600,short,41903.0,42049.0,STOP_LOSS_SOFT,-730.0
L1,1742378400,1742395920,long,42150.0,42314.86389623,TAKE_PROFIT_HARD,824.32
L1,1742396400,1742402700,long,42387.0,42333.0,END_OF_DAY,-270.0
L1,1742472000,1742477040,short,42471.0,42306.13610377,TAKE_PROFIT_HARD,824.32
L1,1742562000,1742569920,long,42289.0,42159.0,STOP_LOSS_SOFT,-650.0
L1,1742799600,1742811660,long,42681.0,42845.86389623,TAKE_PROFIT_HARD,824.32
L1,1742889600,1742911140,long,42962.0,42827.0,STOP_LOSS_SOFT,-675.0
L1,1742976000,1742982000,long,42954.0,43118.86389623,TAKE_PROFIT_HARD,824.32
L1,1742983200,1742988540,long,43059.0,42924.0,STOP_LOSS_SOFT,-675.0
L1,1742994000,1743007500,short,42799.0,42708.0,END_OF_DAY,455.0
L1,1743022800,1743042180,long,42700.0,42864.86389623,TAKE_PROFIT_HARD,824.32
L1,1743073200,1743075540,long,42782.0,42650.0,STOP_LOSS_SOFT,-660.0
L1,1743156000,1743157560,short,42310.0,42145.13610377,TAKE_PROFIT_HARD,824.32
L1,1743159600,1743167100,short,42037.0,41872.13610377,TAKE_PROFIT_HARD,824.32
L1,1743357600,1743398940,short,41714.0,41610.0,TIME_CAP,520.0
