layer,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,pnl
L1,1735895400,1735896360,short,42838.0,42880.0,STOP_LOSS_SOFT,-210.0
L1,1736160900,1736161260,short,43275.0,43238.9382171543,TAKE_PROFIT_HARD,180.31
L1,1736340000,1736340120,long,42621.0,42657.0617828457,TAKE_PROFIT_HARD,180.31
L1,1736778600,1736778960,short,42462.0,42425.9382171543,TAKE_PROFIT_HARD,180.31
L1,1736858100,1736858280,long,42412.0,42448.0617828457,TAKE_PROFIT_HARD,180.31
L1,1736941500,1736942280,long,43304.0,43340.0617828457,TAKE_PROFIT_HARD,180.31
L1,1737045900,1737053940,long,43329.0,43365.0617828457,TAKE_PROFIT_HARD,180.31
L1,1737110400,1737112140,short,43729.0,43780.0,STOP_LOSS_SOFT,-255.0
L1,1737447900,1737449280,long,43856.0,43892.0617828457,TAKE_PROFIT_HARD,180.31
L1,1737451500,1737451740,long,43856.0,43892.0617828457,TAKE_PROFIT_HARD,180.31
L1,1737518400,1737529260,short,44303.0,44354.0,STOP_LOSS_SOFT,-255.0
L1,1737646800,1737647520,long,44665.0,44701.0617828457,TAKE_PROFIT_HARD,180.31
L1,1737702600,1737703860,long,44665.0,44612.0,STOP_LOSS_SOFT,-265.0
L1,1737966300,1737967560,short,44304.0,44267.9382171543,TAKE_PROFIT_HARD,180.31
L1,1737981900,1737982080,short,44749.0,44712.9382171543,TAKE_PROFIT_HARD,180.31
L1,1737986100,1737986580,short,44737.0,44780.0,STOP_LOSS_SOFT,-215.0
L1,1738062300,1738063020,short,45138.0,45101.9382171543,TAKE_PROFIT_HARD,180.31
L1,1738073700,1738074360,long,44963.0,44999.0617828457,TAKE_PROFIT_HARD,180.31
L1,1738123500,1738127160,long,44961.0,44997.0617828457,TAKE_PROFIT_HARD,180.31
L1,1738138800,1738143000,long,44968.0,45004.0617828457,TAKE_PROFIT_HARD,180.31
L1,1738155600,1738155720,long,44966.0,44886.0,STOP_LOSS_SOFT,-400.0
L1,1738199400,1738204440,long,44969.0,45005.0617828457,TAKE_PROFIT_HARD,180.31
L1,1738220100,1738220460,long,44962.0,44869.3494702686,STOP_LOSS_HARD,-463.25
L1,1738240200,1738240800,long,44952.0,44988.0617828457,TAKE_PROFIT_HARD,180.31
L1,1738271400,1738290300,short,45119.0,45160.0,STOP_LOSS_SOFT,-205.0
L1,1738329900,1738330140,long,44936.0,44888.0,STOP_LOSS_SOFT,-240.0
L1,1738536000,1738537200,long,44035.0,44071.0617828457,TAKE_PROFIT_HARD,180.31
L1,1738551600,1738551960,long,44043.0,44079.0617828457,TAKE_PROFIT_HARD,180.31
L1,1738558800,1738560600,long,44055.0,44091.0617828457,TAKE_PROFIT_HARD,180.31
L1,1738568400,1738569480,long,44050.0,44008.0,STOP_LOSS_SOFT,-210.0
L1,1738618800,1738622520,long,44624.0,44573.0,STOP_LOSS_SOFT,-255.0
L1,1738704600,1738710180,long,44627.0,44586.0,STOP_LOSS_SOFT,-205.0
L1,1738816500,1738818240,short,45107.0,45150.0,STOP_LOSS_SOFT,-215.0
L1,1738821600,1738821780,long,45121.0,45060.0,STOP_LOSS_SOFT,-305.0
L1,1739463900,1739479140,short,44824.0,44870.0,STOP_LOSS_SOFT,-230.0
L1,1739513100,1739516940,long,44667.0,44703.0617828457,TAKE_PROFIT_HARD,180.31
L1,1739526300,1739526900,short,44817.0,44780.9382171543,TAKE_PROFIT_HARD,180.31
L1,1739546700,1739548020,long,44641.0,44598.0,STOP_LOSS_SOFT,-215.0
L1,1740096900,1740103800,long,44251.0,44288.0,TAKE_PROFIT_HARD,185.0
L1,1740118200,1740121200,short,44325.0,44288.9382171543,TAKE_PROFIT_HARD,180.31
L1,1740388200,1740388680,long,43692.0,43728.0617828457,TAKE_PROFIT_HARD,180.31
L1,1740511800,1740515460,short,43773.0,43736.9382171543,TAKE_PROFIT_HARD,180.31
L1,1740517800,1740518400,long,43697.0,43733.0617828457,TAKE_PROFIT_HARD,180.31
L1,1740529500,1740543720,short,43773.0,43822.0,STOP_LOSS_SOFT,-245.0
L1,1740662700,1740662820,short,43817.0,43780.9382171543,TAKE_PROFIT_HARD,180.31
L1,1740664200,1740664260,short,43781.0,43744.9382171543,TAKE_PROFIT_HARD,180.31
L1,1740665700,1740666360,long,43666.0,43618.0,STOP_LOSS_SOFT,-240.0
L1,1741012200,1741012200,long,43521.0,43557.0617828457,TAKE_PROFIT_HARD,180.31
L1,1741034100,1741034880,long,43243.0,43279.0617828457,TAKE_PROFIT_HARD,180.31
L1,1741054500,1741057980,long,43249.0,43285.0617828457,TAKE_PROFIT_HARD,180.31
L1,1741065600,1741066080,long,43252.0,43213.0,STOP_LOSS_SOFT,-195.0
L1,1741247100,1741248240,short,42696.0,42659.9382171543,TAKE_PROFIT_HARD,180.31
L1,1741251000,1741251180,short,42694.0,42657.9382171543,TAKE_PROFIT_HARD,180.31
L1,1741587600,1741589040,long,42465.0,42425.0,STOP_LOSS_SOFT,-200.0
L1,1741669800,1741672980,long,42061.0,42012.0,STOP_LOSS_SOFT,-245.0
L1,1741681800,1741682040,long,42052.0,41980.0,STOP_LOSS_SOFT,-360.0
