cell,tok,arm,N,rule,n,ticks,conf_n,conf_raw,conf_25,conf_t25,conf_mean25,expl_25,expl_t25,fresh_25,fresh_n,yrs_pos,yrs,maxyr_share
NQ_cash_5_R1,NQ,cash,5,R1,3599,8.37,1804,108340.0,63240.0,0.811,35.06,-38160.0,-2.69,35475.0,412,6,7,0.66
NQ_cash_5_R2,NQ,cash,5,R2,3585,6.98,1804,108644.64,63544.64,1.146,35.22,-20534.93,-1.885,-7435.89,412,6,7,0.64
NQ_cash_5_R3,NQ,cash,5,R3,3599,-1.46,1804,-49957.5,-95057.5,-3.006,-52.69,-30812.5,-5.431,9537.5,412,1,7,
NQ_cash_15_R1,NQ,cash,15,R1,3589,7.03,1800,94975.0,49975.0,0.598,27.76,-55295.0,-3.467,41765.0,411,4,7,0.73
NQ_cash_15_R2,NQ,cash,15,R2,3575,8.46,1800,130098.61,85098.61,1.558,47.28,-27058.89,-2.571,3757.18,411,7,7,0.44
NQ_cash_15_R3,NQ,cash,15,R3,3589,-3.35,1800,-59567.5,-104567.5,-2.297,-58.09,-52530.0,-5.716,7265.0,411,1,7,
NQ_cash_30_R1,NQ,cash,30,R1,3556,6.1,1785,137520.0,92895.0,1.105,52.04,-66575.0,-4.199,-6780.0,407,4,7,0.71
NQ_cash_30_R2,NQ,cash,30,R2,3542,1.88,1785,45175.71,550.71,0.011,0.31,-51425.79,-5.771,-4325.11,407,2,7,49.03
NQ_cash_30_R3,NQ,cash,30,R3,3556,1.73,1785,30717.5,-13907.5,-0.259,-7.79,-54855.0,-5.172,10647.5,407,3,7,
NQ_cash_60_R1,NQ,cash,60,R1,3398,6.14,1716,127220.0,84320.0,1.093,49.14,-60085.0,-4.07,-4850.0,393,5,7,0.79
NQ_cash_60_R2,NQ,cash,60,R2,3384,2.25,1716,70560.04,27660.04,0.596,16.12,-30585.54,-3.547,-43537.54,393,5,7,0.81
NQ_cash_60_R3,NQ,cash,60,R3,3398,5.91,1716,105475.0,62575.0,1.065,36.47,-46822.5,-4.123,-340.0,393,4,7,0.86
NQ_globex_5_R1,NQ,globex,5,R1,3835,3.43,1807,63585.0,18410.0,0.308,10.19,-94975.0,-8.149,46545.0,413,2,7,2.25
NQ_globex_5_R2,NQ,globex,5,R2,3827,6.38,1807,78812.79,33637.79,0.487,18.62,-109692.46,-8.894,102547.86,413,4,7,0.88
NQ_globex_5_R3,NQ,globex,5,R3,3835,-2.37,1807,-9020.0,-54195.0,-3.064,-29.99,-61685.0,-12.064,-25502.5,413,1,7,
NQ_globex_15_R1,NQ,globex,15,R1,3095,8.38,1794,93380.0,48530.0,0.73,27.05,-42215.0,-3.477,45970.0,413,4,7,0.95
NQ_globex_15_R2,NQ,globex,15,R2,3097,10.02,1794,106458.82,61608.82,0.884,34.34,-47182.07,-4.324,63276.39,413,4,7,0.96
NQ_globex_15_R3,NQ,globex,15,R3,3095,-0.35,1794,8602.5,-36247.5,-1.762,-20.2,-38945.0,-7.047,-7627.5,413,2,7,
NQ_globex_30_R1,NQ,globex,30,R1,2529,8.37,1749,69725.0,26000.0,0.372,14.87,2095.0,0.208,14480.0,412,3,7,1.72
NQ_globex_30_R2,NQ,globex,30,R2,2529,12.36,1749,63231.75,19506.75,0.289,11.15,913.04,0.098,72660.46,412,3,7,1.41
NQ_globex_30_R3,NQ,globex,30,R3,2529,-1.79,1749,-16465.0,-60190.0,-2.571,-34.41,-6165.0,-1.824,-19532.5,412,0,7,
NQ_globex_60_R1,NQ,globex,60,R1,2249,16.26,1690,165150.0,122900.0,1.542,72.72,3930.0,0.473,-260.0,410,5,7,0.52
NQ_globex_60_R2,NQ,globex,60,R2,2249,19.52,1690,147771.18,105521.18,1.458,62.44,866.82,0.146,56855.54,410,4,7,0.5
NQ_globex_60_R3,NQ,globex,60,R3,2249,1.6,1690,27290.0,-14960.0,-0.574,-8.85,-1697.5,-0.631,-21542.5,410,1,7,
NQ_cash_0_C1,NQ,cash,0,C1,526,0.7,275,-31805.0,-38680.0,-0.926,-140.65,-5525.0,-0.646,32905.0,64,3,7,
ES_cash_5_R1,ES,cash,5,R1,3601,0.29,1804,39312.5,-5787.5,-0.135,-3.21,-42287.5,-3.26,-28675.0,412,3,7,
ES_cash_5_R2,ES,cash,5,R2,3587,-0.31,1804,-960.36,-46060.36,-1.529,-25.53,-42744.73,-4.578,-14603.12,412,3,7,
ES_cash_5_R3,ES,cash,5,R3,3601,-0.66,1804,-25662.5,-70762.5,-4.338,-39.23,-23112.5,-4.864,-25712.5,412,0,7,
ES_cash_15_R1,ES,cash,15,R1,3593,0.92,1800,58037.5,13037.5,0.273,7.24,-63412.5,-4.244,1812.5,411,4,7,2.44
ES_cash_15_R2,ES,cash,15,R2,3579,1.65,1800,68570.09,23570.09,0.733,13.09,-44414.73,-4.599,5124.2,411,5,7,0.72
ES_cash_15_R3,ES,cash,15,R3,3593,-0.14,1800,9375.0,-35625.0,-1.501,-19.79,-44112.5,-5.521,-16406.25,411,1,7,
ES_cash_30_R1,ES,cash,30,R1,3570,0.56,1793,58137.5,13312.5,0.272,7.42,-66725.0,-4.389,-10675.0,409,4,7,2.16
ES_cash_30_R2,ES,cash,30,R2,3556,0.23,1793,21861.52,-22963.48,-0.782,-12.81,-57389.91,-6.933,1831.96,409,2,7,
ES_cash_30_R3,ES,cash,30,R3,3570,0.52,1793,18625.0,-26200.0,-0.908,-14.61,-52231.25,-5.487,12606.25,409,3,7,
ES_cash_60_R1,ES,cash,60,R1,3474,0.99,1747,55612.5,11937.5,0.255,6.83,-46150.0,-3.145,-9737.5,399,3,7,3.21
ES_cash_60_R2,ES,cash,60,R2,3460,0.88,1747,13340.62,-30334.38,-1.153,-17.36,-33485.0,-3.985,15468.93,399,2,7,
ES_cash_60_R3,ES,cash,60,R3,3474,0.77,1747,32706.25,-10968.75,-0.33,-6.28,-39100.0,-3.592,-3175.0,399,3,7,
ES_globex_5_R1,ES,globex,5,R1,4121,-0.85,1807,30437.5,-14737.5,-0.383,-8.16,-129150.0,-11.908,-2837.5,414,2,7,
ES_globex_5_R2,ES,globex,5,R2,4107,-0.47,1807,42901.25,-2273.75,-0.057,-1.26,-138913.21,-12.288,14529.29,414,3,7,
