cell,tok,arm,N,rule,n_conf,mean25,t25,mde,expl_mean25,yrs_pos,max_year_share,loyo_min,ticks,verdict
NQ_cash_5_R1,NQ,cash,5,R1,1804,35.06,0.811,120.99,-27.59,6/7,0.66,21330.0,8.37,UNDERPOWERED
NQ_cash_5_R2,NQ,cash,5,R2,1804,35.22,1.146,86.08,-15.0,6/7,0.64,23141.0,6.98,UNDERPOWERED
NQ_cash_5_R3,NQ,cash,5,R3,1804,-52.69,-3.006,49.08,-22.28,1/7,,-118012.0,-1.46,NEGATIVE (t) but UNDERPOWERED vs $25
NQ_cash_15_R1,NQ,cash,15,R1,1800,27.76,0.598,130.09,-40.13,4/7,0.73,13610.0,7.03,UNDERPOWERED
NQ_cash_15_R2,NQ,cash,15,R2,1800,47.28,1.558,84.98,-19.84,7/7,0.44,48036.0,8.46,UNDERPOWERED
NQ_cash_15_R3,NQ,cash,15,R3,1800,-58.09,-2.297,70.81,-38.12,1/7,,-107235.0,-3.35,NEGATIVE (t) but UNDERPOWERED vs $25
NQ_cash_30_R1,NQ,cash,30,R1,1785,52.04,1.105,131.86,-48.81,4/7,0.71,26645.0,6.1,UNDERPOWERED
NQ_cash_30_R2,NQ,cash,30,R2,1785,0.31,0.011,78.16,-38.09,2/7,49.03,-26450.0,1.88,UNDERPOWERED
NQ_cash_30_R3,NQ,cash,30,R3,1785,-7.79,-0.259,84.31,-40.22,3/7,,-29348.0,1.73,UNDERPOWERED
NQ_cash_60_R1,NQ,cash,60,R1,1716,49.14,1.093,125.85,-46.61,5/7,0.79,18060.0,6.14,UNDERPOWERED
NQ_cash_60_R2,NQ,cash,60,R2,1716,16.12,0.596,75.71,-23.99,5/7,0.81,5149.0,2.25,UNDERPOWERED
NQ_cash_60_R3,NQ,cash,60,R3,1716,36.47,1.065,95.89,-36.32,4/7,0.86,8610.0,5.91,UNDERPOWERED
NQ_globex_5_R1,NQ,globex,5,R1,1807,10.19,0.308,92.65,-58.81,2/7,2.25,-22965.0,3.43,UNDERPOWERED
NQ_globex_5_R2,NQ,globex,5,R2,1807,18.62,0.487,106.93,-68.26,4/7,0.88,4035.0,6.38,UNDERPOWERED
NQ_globex_5_R3,NQ,globex,5,R3,1807,-29.99,-3.064,27.41,-38.2,1/7,,-56385.0,-2.37,NEGATIVE (t) but UNDERPOWERED vs $25
NQ_globex_15_R1,NQ,globex,15,R1,1794,27.05,0.73,103.74,-47.54,4/7,0.95,2600.0,8.38,UNDERPOWERED
NQ_globex_15_R2,NQ,globex,15,R2,1794,34.34,0.884,108.73,-53.01,4/7,0.96,2285.0,10.02,UNDERPOWERED
NQ_globex_15_R3,NQ,globex,15,R3,1794,-20.2,-1.762,32.11,-43.86,2/7,,-41635.0,-0.35,UNDERPOWERED
NQ_globex_30_R1,NQ,globex,30,R1,1749,14.87,0.372,111.83,5.69,3/7,1.72,-18680.0,8.37,UNDERPOWERED
