anchor,sl_soft,sl_hard,tp,pnl,n,dd,win
2024Q1,187.55,769.39,526.83,-26116.88,14,43345.0,14.3
2024Q1,284.82,380.3,137.45,-28707.4,24,36520.72,54.2
2024Q1,50.21,580.31,438.35,-21717.93,27,25590.0,3.7
2024Q1,332.3,344.9,687.66,-13407.71,8,34209.07,25.0
2024Q1,386.28,516.23,154.91,-5138.99,16,31385.0,68.8
2024Q1,104.6,290.79,386.74,-6611.47,25,32715.29,20.0
2024Q1,212.46,390.7,445.61,27276.26,9,4335.0,55.6
2024Q1,85.54,264.33,279.66,-16205.73,33,23955.36,18.2
2024Q1,222.93,703.46,166.98,-12635.34,25,29745.41,52.0
2024Q1,248.18,610.74,63.4,-28388.79,33,34730.88,66.7
2024Q1,435.19,724.87,579.74,-20690.34,7,43880.0,28.6
2024Q1,402.79,630.88,264.45,1297.71,13,27515.91,61.5
2024Q1,157.73,466.23,261.53,-9839.82,23,32809.35,34.8
2024Q1,457.11,698.11,306.85,-9653.52,11,27965.0,54.5
2024Q1,329.91,686.07,472.26,40611.42,6,0.0,83.3
2024Q1,322.33,736.24,481.08,-12075.47,9,34325.0,33.3
2024Q1,335.95,745.71,615.93,-23877.83,9,41775.0,22.2
2024Q1,164.65,252.16,367.32,7757.18,19,28993.17,36.8
2024Q1,259.2,603.95,510.8,-22562.97,10,37770.0,20.0
2024Q1,304.84,759.05,437.21,24171.38,8,13365.0,62.5
2024Q1,372.17,404.28,610.37,-13595.29,7,38010.0,28.6
2024Q1,290.34,744.31,445.65,32870.19,7,5865.0,71.4
2024Q1,214.36,728.76,366.5,29980.09,17,22450.0,52.9
2024Q1,272.27,883.72,356.86,41700.14,13,11540.0,69.2
2024Q1,278.97,882.18,340.8,38238.33,13,11635.0,69.2
2024Q1,360.44,968.73,336.13,10273.61,12,14515.0,58.3
2024Q1,268.64,822.7,212.43,-8631.07,21,23252.31,52.4
2024Q1,338.86,949.08,384.56,32593.44,10,7295.0,70.0
2024Q1,419.0,925.61,549.95,-20571.81,7,42570.0,28.6
2024Q1,176.14,733.76,224.39,-19329.46,25,36812.16,36.0
2024Q1,306.53,875.68,325.22,1030.42,14,19125.0,50.0
2024Q1,294.5,733.39,470.43,41147.96,6,0.0,83.3
2024Q1,272.86,656.27,509.91,-19023.48,9,33880.0,22.2
2024Q1,243.13,706.26,402.45,28399.45,10,9940.0,60.0
2024Q1,354.79,657.68,486.82,-14441.02,9,36480.0,33.3
2024Q1,287.73,812.2,419.42,24372.26,8,11765.0,62.5
2024Q1,308.7,895.88,483.83,-15725.5,10,38570.0,30.0
2024Q1,193.91,618.97,539.45,-27246.88,14,44855.0,14.3
2024Q1,387.73,871.66,698.01,-32979.87,7,46940.0,14.3
2024Q1,229.64,766.48,350.48,34377.29,15,19320.0,60.0
2024Q1,283.12,615.66,308.91,9368.81,17,23265.0,52.9
2024Q1,140.32,682.26,363.38,-10387.15,20,28835.0,25.0
2024Q1,251.4,851.96,407.95,28473.66,10,10185.0,60.0
2024Q1,236.96,808.59,346.65,32416.88,15,20175.0,60.0
2024Q1,227.13,713.92,300.7,6985.45,19,28445.0,47.4
2024Q1,194.9,580.01,450.58,-9183.22,15,33180.0,26.7
2024Q1,51.69,576.6,216.72,-3299.27,39,14602.13,20.5
2024Q1,310.54,564.26,250.58,-1144.33,18,25720.0,55.6
2024Q1,329.07,763.29,79.75,-24303.2,27,27258.77,70.4
2024Q1,266.44,810.85,658.0,-12294.93,9,33245.0,22.2
2024Q1,204.05,787.74,465.77,-5358.04,14,34285.0,28.6
2024Q1,298.1,750.61,437.46,25161.43,8,12580.0,62.5
2024Q1,278.25,783.08,391.76,18261.02,11,17420.0,54.5
2024Q1,345.36,711.69,422.21,19945.63,8,14765.0,62.5
2024Q1,292.75,764.04,287.81,4186.27,17,23855.0,52.9
2024Q1,323.01,717.64,350.85,35853.4,13,14080.0,69.2
2024Q1,318.17,710.14,346.01,35816.61,13,13375.0,69.2
2024Q1,324.51,600.45,332.45,19351.64,13,14080.0,61.5
2024Q1,367.65,693.36,569.85,-15050.84,7,37845.0,28.6
2024Q1,388.15,788.82,246.09,269.47,13,31270.0,61.5
2024Q1,346.88,716.55,383.02,24672.65,11,14320.0,63.6
2024Q1,316.24,667.13,360.57,39093.13,13,12755.0,69.2
2024Q1,316.85,710.55,319.14,6018.04,15,25450.0,53.3
2024Q1,329.73,671.61,281.84,3145.66,16,27660.0,56.2
2024Q1,257.68,458.46,363.81,44095.11,13,10875.0,69.2
2024Q1,261.28,457.94,503.93,-18112.87,9,32855.0,22.2
2024Q1,250.49,331.97,375.2,36545.99,15,20635.0,60.0
2024Q1,246.92,358.28,462.88,36238.31,7,4980.0,71.4
2024Q1,219.16,374.89,378.5,31100.35,17,23615.0,52.9
2024Q1,277.27,332.84,417.0,18814.83,9,17230.0,55.6
