anchor,win_start,win_end,price_start,price_end,price_mean,price_change_pct,range_pct,atr_mean,harv_mean,best_sl_soft,best_sl_hard,best_tp,n_trades,pnl,max_dd,win_rate,n_complete_trials,band_n,sl_soft_mean,sl_soft_std,sl_soft_p10,sl_soft_p90,sl_hard_mean,sl_hard_std,tp_mean,tp_std,tp_p10,tp_p90
2024-03,2024-01,2024-03,17008.25,18573.0,17727.24,9.2,13.396,89.11,58.3902,263.63,439.87,379.88,13,46858.88,10955.0,69.2,400,117,271.92,12.24,257.62,285.3,514.87,59.07,367.69,16.62,350.62,377.31
2024-04,2024-02,2024-04,17353.0,17508.25,18035.57,0.895,8.848,100.89,62.9699,311.4,594.1,399.71,11,44183.51,6725.0,72.7,400,46,320.44,6.08,311.52,328.39,564.11,40.79,392.93,4.44,386.26,397.69
2024-05,2024-03,2024-05,18064.75,18570.75,18246.76,2.801,10.468,97.3,60.6909,25.18,190.05,360.97,37,22231.75,9075.0,16.2,400,38,25.5,0.65,25.05,26.24,325.04,125.26,350.19,6.92,341.32,359.03
2024-06,2024-04,2024-06,18571.0,20007.25,18638.5,7.734,17.479,95.18,59.7788,432.21,572.98,680.16,5,45742.89,8670.0,80.0,400,89,447.1,8.04,436.48,458.62,553.29,50.71,674.16,6.77,663.81,681.37
2024-07,2024-05,2024-07,17436.0,19690.75,19353.35,12.932,18.589,96.3,61.3946,105.96,598.71,594.97,12,71931.28,4735.0,58.3,400,117,116.41,15.97,104.88,130.29,462.45,122.13,574.11,38.24,554.83,592.15
2024-08,2024-06,2024-08,18628.0,19594.5,19601.99,5.188,18.533,129.39,81.7241,254.3,371.73,562.72,16,81154.65,10320.0,62.5,400,75,161.71,67.43,104.9,254.43,293.44,128.63,547.34,16.64,537.42,560.65
2024-09,2024-07,2024-09,19936.0,20251.25,19600.97,1.581,18.534,142.44,89.6123,419.84,637.5,439.03,18,88582.49,8790.0,77.8,400,92,205.68,30.6,184.94,219.15,401.59,94.93,449.4,7.92,438.27,462.09
2024-10,2024-08,2024-10,19589.0,20120.5,19707.11,2.713,17.443,140.52,87.8413,207.2,727.81,453.41,23,61247.34,12750.0,52.2,400,125,214.39,10.9,204.9,228.74,665.62,64.49,451.52,12.83,438.13,472.87
2024-11,2024-09,2024-11,19616.25,20991.25,20244.54,7.009,14.824,120.71,76.3445,204.84,344.41,454.34,17,47096.71,17078.14,52.9,400,129,210.25,12.99,193.85,227.83,403.58,106.55,445.35,10.69,432.02,453.97
2024-12,2024-10,2024-12,20278.0,21234.25,20917.59,4.716,12.467,112.97,72.6968,296.03,713.97,206.05,23,22932.47,18455.0,69.6,400,10,293.94,7.48,280.62,299.59,730.83,74.87,200.67,3.93,196.74,206.09
2025-01,2024-11,2025-01,20094.75,21571.0,21318.9,7.346,11.317,127.66,80.9614,285.94,412.02,206.75,28,66051.77,7539.92,82.1,400,79,290.72,9.61,279.59,304.4,491.08,46.61,202.36,19.51,191.94,205.21
2025-02,2024-12,2025-02,20953.75,20909.0,21604.35,-0.214,9.097,133.4,85.6744,274.84,327.03,206.15,33,86660.34,6300.0,84.8,400,82,288.72,16.31,275.13,305.66,452.5,151.0,216.99,38.09,192.76,299.12
2025-03,2025-01,2025-03,21322.25,19360.5,21030.18,-9.2,15.896,158.94,101.1829,446.82,904.99,507.2,18,85892.33,9480.0,72.2,400,77,439.97,34.82,423.89,458.71,920.14,70.59,497.6,6.82,489.27,505.53
2025-04,2025-02,2025-04,21029.75,19921.5,20101.99,-5.27,29.15,210.16,135.8111,311.59,702.35,625.58,15,52367.83,28400.0,53.3,400,116,331.98,16.41,315.18,356.64,746.83,51.29,609.74,36.2,597.31,624.75
2025-05,2025-03,2025-05,20929.25,21369.0,19871.82,2.101,27.168,216.37,137.0854,336.62,339.82,653.47,14,63776.19,27185.94,57.1,400,134,332.4,29.41,309.85,361.09,476.65,95.22,633.61,54.35,626.62,650.88
2025-06,2025-04,2025-06,19487.75,22841.5,20553.1,17.21,31.503,198.35,125.193,150.8,318.74,172.42,34,55631.05,6575.0,73.5,400,75,159.35,25.59,133.84,187.73,352.13,102.11,165.21,20.7,136.94,174.11
2025-07,2025-05,2025-07,20017.75,23292.75,22041.7,16.36,18.902,127.46,79.4718,320.5,592.35,651.15,9,58223.12,12905.0,66.7,400,114,363.53,46.47,311.31,437.03,677.83,153.25,645.25,5.47,638.7,651.98
2025-08,2025-06,2025-08,21277.75,23429.5,22908.09,10.113,12.683,112.85,72.2496,283.24,864.69,695.08,9,45577.95,11685.0,55.6,400,185,300.35,15.15,285.46,321.61,833.62,86.48,683.57,12.7,665.54,696.39
2025-09,2025-07,2025-09,22830.75,24761.25,23652.65,8.456,10.338,102.28,65.9707,216.87,216.93,600.06,10,54652.31,8677.17,60.0,400,102,260.97,54.28,215.22,356.8,406.74,216.75,593.66,18.63,583.81,604.08
2025-10,2025-08,2025-10,23127.75,25983.0,24392.84,12.346,14.857,119.39,76.9947,401.48,925.52,494.34,11,53464.03,17525.0,72.7,400,105,411.82,42.27,385.49,448.43,833.16,149.76,450.86,35.04,411.93,491.91
