anchor,win_start,win_end,price_start,price_end,price_mean,atr_mean,harv_mean,best_sl_soft,best_sl_hard,best_tp,n_trades,pnl,max_dd,win_rate,sl_pct_of_price,tp_pct_of_price,bound_clipped
2024-03,2024-01,2024-03,17008.25,18573.0,17727.24,89.11,58.3902,263.63,439.87,379.88,13,46858.88,10955.0,69.2,1.4872,2.1429,0
2024-04,2024-02,2024-04,17353.0,17508.25,18035.57,100.89,62.9699,311.4,594.1,399.71,11,44183.51,6725.0,72.7,1.7266,2.2162,0
2024-05,2024-03,2024-05,18064.75,18570.75,18246.76,97.3,60.6909,25.18,190.05,360.97,37,22231.75,9075.0,16.2,0.138,1.9783,0
2024-06,2024-04,2024-06,18571.0,20007.25,18638.5,95.18,59.7788,432.21,572.98,680.16,5,45742.89,8670.0,80.0,2.3189,3.6492,0
2024-07,2024-05,2024-07,17436.0,19690.75,19353.35,96.3,61.3946,105.96,598.71,594.97,12,71931.28,4735.0,58.3,0.5475,3.0743,0
2024-08,2024-06,2024-08,18628.0,19594.5,19601.99,129.39,81.7241,254.3,371.73,562.72,16,81154.65,10320.0,62.5,1.2973,2.8707,0
2024-09,2024-07,2024-09,19936.0,20251.25,19600.97,142.44,89.6123,419.84,637.5,439.03,18,88582.49,8790.0,77.8,2.1419,2.2398,0
2024-10,2024-08,2024-10,19589.0,20120.5,19707.11,140.52,87.8413,207.2,727.81,453.41,23,61247.34,12750.0,52.2,1.0514,2.3007,0
2024-11,2024-09,2024-11,19616.25,20991.25,20244.54,120.71,76.3445,204.84,344.41,454.34,17,47096.71,17078.14,52.9,1.0118,2.2443,0
2024-12,2024-10,2024-12,20278.0,21234.25,20917.59,112.97,72.6968,296.03,713.97,206.05,23,22932.47,18455.0,69.6,1.4152,0.9851,0
2025-01,2024-11,2025-01,20094.75,21571.0,21318.9,127.66,80.9614,285.94,412.02,206.75,28,66051.77,7539.92,82.1,1.3412,0.9698,0
2025-02,2024-12,2025-02,20953.75,20909.0,21604.35,133.4,85.6744,274.84,327.03,206.15,33,86660.34,6300.0,84.8,1.2721,0.9542,0
2025-03,2025-01,2025-03,21322.25,19360.5,21030.18,158.94,101.1829,446.82,904.99,507.2,18,85892.33,9480.0,72.2,2.1246,2.4118,0
2025-04,2025-02,2025-04,21029.75,19921.5,20101.99,210.16,135.8111,311.59,702.35,625.58,15,52367.83,28400.0,53.3,1.55,3.112,0
2025-05,2025-03,2025-05,20929.25,21369.0,19871.82,216.37,137.0854,336.62,339.82,653.47,14,63776.19,27185.94,57.1,1.6939,3.2884,0
2025-06,2025-04,2025-06,19487.75,22841.5,20553.1,198.35,125.193,150.8,318.74,172.42,34,55631.05,6575.0,73.5,0.7337,0.8389,0
2025-07,2025-05,2025-07,20017.75,23292.75,22041.7,127.46,79.4718,320.5,592.35,651.15,9,58223.12,12905.0,66.7,1.4541,2.9542,0
2025-08,2025-06,2025-08,21277.75,23429.5,22908.09,112.85,72.2496,283.24,864.69,695.08,9,45577.95,11685.0,55.6,1.2364,3.0342,1
2025-09,2025-07,2025-09,22830.75,24761.25,23652.65,102.28,65.9707,216.87,216.93,600.06,10,54652.31,8677.17,60.0,0.9169,2.5369,0
2025-10,2025-08,2025-10,23127.75,25983.0,24392.84,119.39,76.9947,401.48,925.52,494.34,11,53464.03,17525.0,72.7,1.6459,2.0266,0
2025-11,2025-09,2025-11,23484.75,25267.75,24929.13,147.25,92.865,150.15,178.3,383.87,21,95697.63,6590.95,71.4,0.6023,1.5398,0
2025-12,2025-10,2025-12,24745.75,25434.75,25376.09,158.38,99.8218,304.62,320.65,366.51,20,50673.42,12553.0,65.0,1.2004,1.4443,0
2026-01,2025-11,2026-01,26083.0,25639.25,25519.98,158.54,99.801,426.56,866.8,66.45,37,28780.31,9110.0,94.6,1.6715,0.2604,0
2026-02,2025-12,2026-02,25313.0,24952.75,25466.56,154.64,99.847,432.47,529.71,36.71,38,27896.09,0.0,100.0,1.6982,0.1441,0
2026-03,2026-01,2026-03,25603.75,24041.25,25084.15,185.09,121.8983,431.62,699.06,35.1,32,22463.98,0.0,100.0,1.7207,0.1399,0
2026-04,2026-02,2026-04,25367.75,27616.75,25190.57,196.01,126.4523,82.85,97.21,658.09,20,67724.08,7463.38,35.0,0.3289,2.6124,0
2026-05,2026-03,2026-05,24821.0,28950.0,26059.59,197.36,126.4219,433.96,444.88,371.38,21,90680.33,17795.14,81.0,1.6653,1.4251,0
