anchor,win_start,win_end,price_start,price_end,price_mean,atr_mean,harv_mean,best_sl_soft,best_sl_hard,best_tp,n_trades,pnl,max_dd,win_rate,sl_pct_of_price,tp_pct_of_price,bound_clipped
2024-03,2024-01,2024-03,17008.25,18573.0,17727.24,89.11,58.3902,35.94,170.33,104.16,44,11573.33,7531.86,38.6,0.2027,0.5876,0
2024-04,2024-02,2024-04,17353.0,17508.25,18035.57,100.89,62.9699,34.54,39.17,291.07,37,17399.7,10833.0,18.9,0.1915,1.6139,0
2024-05,2024-03,2024-05,18064.75,18570.75,18246.76,97.3,60.6909,25.12,138.28,358.92,37,21984.86,9075.0,16.2,0.1377,1.967,0
2024-06,2024-04,2024-06,18571.0,20007.25,18638.5,95.18,59.7788,103.94,138.69,257.47,22,45209.71,7528.9,59.1,0.5577,1.3814,0
2024-07,2024-05,2024-07,17436.0,19690.75,19353.35,96.3,61.3946,121.47,135.4,594.99,12,69916.19,5415.94,58.3,0.6276,3.0743,0
2024-08,2024-06,2024-08,18628.0,19594.5,19601.99,129.39,81.7241,111.16,111.28,562.04,19,78911.33,6676.8,47.4,0.5671,2.8673,0
2024-09,2024-07,2024-09,19936.0,20251.25,19600.97,142.44,89.6123,34.45,169.71,534.15,43,76615.9,14735.0,23.3,0.1757,2.7251,0
2024-10,2024-08,2024-10,19589.0,20120.5,19707.11,140.52,87.8413,117.17,155.79,479.97,27,50976.68,10515.0,37.0,0.5946,2.4355,0
2024-11,2024-09,2024-11,19616.25,20991.25,20244.54,120.71,76.3445,155.68,167.62,451.25,21,29286.83,17126.97,38.1,0.769,2.229,0
2024-12,2024-10,2024-12,20278.0,21234.25,20917.59,112.97,72.6968,79.43,123.03,505.62,24,29169.31,11870.0,25.0,0.3797,2.4172,0
2025-01,2024-11,2025-01,20094.75,21571.0,21318.9,127.66,80.9614,123.37,139.21,694.14,19,48275.95,10724.26,31.6,0.5787,3.256,1
2025-02,2024-12,2025-02,20953.75,20909.0,21604.35,133.4,85.6744,123.03,138.27,707.47,20,64367.4,8045.98,35.0,0.5695,3.2747,1
2025-03,2025-01,2025-03,21322.25,19360.5,21030.18,158.94,101.1829,50.92,162.4,529.84,32,67495.56,7215.0,28.1,0.2421,2.5194,0
2025-04,2025-02,2025-04,21029.75,19921.5,20101.99,210.16,135.8111,155.06,157.23,217.48,32,56750.62,9434.04,65.6,0.7714,1.0819,0
2025-05,2025-03,2025-05,20929.25,21369.0,19871.82,216.37,137.0854,154.69,158.77,283.24,28,52531.1,9526.3,57.1,0.7784,1.4253,0
2025-06,2025-04,2025-06,19487.75,22841.5,20553.1,198.35,125.193,152.46,158.58,172.56,34,57903.83,6343.28,73.5,0.7418,0.8396,0
2025-07,2025-05,2025-07,20017.75,23292.75,22041.7,127.46,79.4718,110.78,124.99,649.41,16,54349.93,11829.73,37.5,0.5026,2.9463,0
2025-08,2025-06,2025-08,21277.75,23429.5,22908.09,112.85,72.2496,52.03,159.83,421.7,28,43112.35,11690.0,28.6,0.2271,1.8408,0
2025-09,2025-07,2025-09,22830.75,24761.25,23652.65,102.28,65.9707,49.7,117.29,424.01,31,49872.08,6690.0,29.0,0.2101,1.7927,0
2025-10,2025-08,2025-10,23127.75,25983.0,24392.84,119.39,76.9947,138.29,150.25,384.23,20,58254.9,6009.99,55.0,0.5669,1.5752,0
2025-11,2025-09,2025-11,23484.75,25267.75,24929.13,147.25,92.865,157.56,166.19,384.67,21,95601.15,6647.72,71.4,0.632,1.543,0
2025-12,2025-10,2025-12,24745.75,25434.75,25376.09,158.38,99.8218,155.02,164.26,371.72,23,64044.39,13070.6,56.5,0.6109,1.4648,0
2026-01,2025-11,2026-01,26083.0,25639.25,25519.98,158.54,99.801,153.24,155.42,373.3,24,31143.22,15541.84,41.7,0.6005,1.4628,0
2026-02,2025-12,2026-02,25313.0,24952.75,25466.56,154.64,99.847,87.29,120.37,318.63,31,31635.45,15992.43,35.5,0.3428,1.2512,0
2026-03,2026-01,2026-03,25603.75,24041.25,25084.15,185.09,121.8983,83.1,100.22,657.49,23,32452.92,20362.5,21.7,0.3313,2.6211,0
2026-04,2026-02,2026-04,25367.75,27616.75,25190.57,196.01,126.4523,80.82,154.87,659.45,20,68273.52,7475.0,35.0,0.3208,2.6179,0
2026-05,2026-03,2026-05,24821.0,28950.0,26059.59,197.36,126.4219,128.69,153.77,547.62,21,78648.45,8925.67,47.6,0.4938,2.1014,0
