anchor,win_start,win_end,price_start,price_end,price_mean,atr_mean,harv_mean,best_sl_soft,best_sl_hard,best_tp,n_trades,pnl,max_dd,win_rate,sl_pct_of_price,tp_pct_of_price,bound_clipped
2024-03,2024-01,2024-03,17008.25,18573.0,17727.24,89.11,58.3902,43.13,121.64,100.48,42,9207.85,8115.42,40.5,0.2433,0.5668,0
2024-04,2024-02,2024-04,17353.0,17508.25,18035.57,100.89,62.9699,44.47,111.92,52.72,44,9236.81,6977.03,59.1,0.2466,0.2923,0
2024-05,2024-03,2024-05,18064.75,18570.75,18246.76,97.3,60.6909,98.37,158.99,78.61,38,19428.54,10837.83,71.1,0.5391,0.4308,0
2024-06,2024-04,2024-06,18571.0,20007.25,18638.5,95.18,59.7788,102.9,138.44,249.86,22,43589.93,7523.7,59.1,0.5521,1.3405,1
2024-07,2024-05,2024-07,17436.0,19690.75,19353.35,96.3,61.3946,125.97,147.18,242.64,25,67432.95,5887.17,72.0,0.6509,1.2537,0
2024-08,2024-06,2024-08,18628.0,19594.5,19601.99,129.39,81.7241,103.14,118.38,242.14,35,56003.49,7102.94,54.3,0.5262,1.2353,0
2024-09,2024-07,2024-09,19936.0,20251.25,19600.97,142.44,89.6123,124.85,141.47,242.5,39,37136.76,14837.08,48.7,0.637,1.2372,0
2024-10,2024-08,2024-10,19589.0,20120.5,19707.11,140.52,87.8413,166.06,167.24,57.68,59,18580.92,13379.16,81.4,0.8427,0.2927,0
2024-11,2024-09,2024-11,19616.25,20991.25,20244.54,120.71,76.3445,166.56,166.89,57.59,53,25126.9,10695.25,84.9,0.8227,0.2845,0
2024-12,2024-10,2024-12,20278.0,21234.25,20917.59,112.97,72.6968,47.98,168.99,57.41,50,14548.73,3210.0,62.0,0.2294,0.2745,0
2025-01,2024-11,2025-01,20094.75,21571.0,21318.9,127.66,80.9614,80.24,91.38,205.78,34,39597.74,7310.02,50.0,0.3764,0.9652,0
2025-02,2024-12,2025-02,20953.75,20909.0,21604.35,133.4,85.6744,123.25,145.06,205.8,36,58662.74,8322.24,63.9,0.5705,0.9526,0
2025-03,2025-01,2025-03,21322.25,19360.5,21030.18,158.94,101.1829,125.58,136.05,217.98,36,57943.07,5441.92,61.1,0.5971,1.0365,0
2025-04,2025-02,2025-04,21029.75,19921.5,20101.99,210.16,135.8111,153.26,156.13,217.14,32,56848.75,9368.01,65.6,0.7624,1.0802,0
2025-05,2025-03,2025-05,20929.25,21369.0,19871.82,216.37,137.0854,152.56,157.91,175.33,33,49071.51,9474.7,69.7,0.7677,0.8823,0
2025-06,2025-04,2025-06,19487.75,22841.5,20553.1,198.35,125.193,157.78,158.09,172.66,34,57873.59,6323.72,73.5,0.7677,0.8401,0
2025-07,2025-05,2025-07,20017.75,23292.75,22041.7,127.46,79.4718,153.77,157.02,135.97,36,39302.13,9842.16,72.2,0.6977,0.6169,0
2025-08,2025-06,2025-08,21277.75,23429.5,22908.09,112.85,72.2496,132.44,151.58,70.23,41,36575.76,3031.68,87.8,0.5781,0.3066,0
2025-09,2025-07,2025-09,22830.75,24761.25,23652.65,102.28,65.9707,134.72,141.82,75.2,35,31084.53,2836.35,85.7,0.5696,0.3179,0
2025-10,2025-08,2025-10,23127.75,25983.0,24392.84,119.39,76.9947,129.95,142.82,249.9,29,43586.99,8180.0,55.2,0.5327,1.0245,1
2025-11,2025-09,2025-11,23484.75,25267.75,24929.13,147.25,92.865,155.03,164.51,249.89,25,59075.84,6410.24,68.0,0.6219,1.0024,1
2025-12,2025-10,2025-12,24745.75,25434.75,25376.09,158.38,99.8218,161.94,163.86,249.91,28,40681.57,16349.0,57.1,0.6382,0.9848,1
2026-01,2025-11,2026-01,26083.0,25639.25,25519.98,158.54,99.801,123.85,123.94,66.35,41,20157.1,3630.56,78.0,0.4853,0.26,0
2026-02,2025-12,2026-02,25313.0,24952.75,25466.56,154.64,99.847,116.13,122.28,66.73,38,24321.44,3491.0,81.6,0.456,0.262,0
2026-03,2026-01,2026-03,25603.75,24041.25,25084.15,185.09,121.8983,104.18,116.68,122.72,31,14635.97,6887.07,58.1,0.4153,0.4892,0
2026-04,2026-02,2026-04,25367.75,27616.75,25190.57,196.01,126.4523,80.45,157.22,249.69,25,27967.85,7185.0,44.0,0.3193,0.9912,1
2026-05,2026-03,2026-05,24821.0,28950.0,26059.59,197.36,126.4219,101.28,124.25,126.0,33,33698.11,7454.87,69.7,0.3886,0.4835,0
