horizon,split,bucket_a,bucket_b,rho_a,n_a,rho_b,n_b,delta,shuffle_p,shuffle_pct,block_shuffle_p,mde_rho,delta_first_half,delta_second_half,temporally_stable,bonferroni_alpha,beats_control,beats_block_control,pooled_spearman,pooled_pearson,pooled_n
5,C1_policy_regime,POS,NEG,0.06079522356730334,481,-0.10228151113213445,354,0.1630767346994378,0.01898101898101898,98.2,0.05194805194805195,0.19442388701586819,-0.1257690614473621,0.07238394345969665,False,0.004166666666666667,False,False,-0.007314249594213469,-0.012465860813050008,870
5,C2_vol_regime,CALM,TURBULENT,-0.004060195065588311,640,-0.028549891314273414,228,0.024489696248685102,0.7412587412587412,25.900000000000002,0.7862137862137862,0.21391295084909412,0.032427574390948496,-0.09736606148754534,False,0.004166666666666667,False,False,-0.007314249594213469,-0.012465860813050008,870
5,C3_trend,UP,DOWN,-0.04890926136495214,611,0.0719481638937924,253,-0.12085742525874454,0.1028971028971029,89.8,0.11288711288711288,0.20743278167560997,-0.062038832137228384,-0.16910444768641408,True,0.004166666666666667,False,False,-0.007314249594213469,-0.012465860813050008,870
15,C1_policy_regime,POS,NEG,0.050880747884602236,501,-0.1034232687179699,335,0.15430401660257215,0.03796203796203796,96.3,0.03196803196803197,0.19593274058822374,-0.05007643215831503,-0.016474512237130798,True,0.004166666666666667,False,False,-0.02245867992130239,-0.014886660850620235,871
15,C2_vol_regime,CALM,TURBULENT,-0.0236664876131387,640,-0.005887292058685148,229,-0.01777919555445355,0.8201798201798202,18.0,0.8321678321678322,0.21357368755483658,0.13584415212190915,-0.16811275005039839,False,0.004166666666666667,False,False,-0.02245867992130239,-0.014886660850620235,871
15,C3_trend,UP,DOWN,-0.05969438302337413,611,0.04969843344888481,254,-0.10939281647225894,0.13486513486513488,86.6,0.13586413586413587,0.2071482235743657,0.031561895513530155,-0.17036811588122194,False,0.004166666666666667,False,False,-0.02245867992130239,-0.014886660850620235,871
30,C1_policy_regime,POS,NEG,0.0797616157954823,517,-0.12252424583498896,318,0.20228586163047124,0.005994005994005994,99.5,0.004995004995004995,0.19782469575058065,-0.14841202217962166,0.10937257490591638,False,0.004166666666666667,False,False,-0.0020014624998362907,-0.014511109904610128,870
30,C2_vol_regime,CALM,TURBULENT,0.03760718171891129,640,-0.08526162850826624,228,0.12286881022717752,0.1068931068931069,89.4,0.11488511488511488,0.21391295084909412,0.11362131757549854,0.02040285661168227,True,0.004166666666666667,False,False,-0.0020014624998362907,-0.014511109904610128,870
30,C3_trend,UP,DOWN,-0.006986589141615159,611,-0.0034413644385814894,253,-0.00354522470303367,0.962037962037962,3.8,0.9690309690309691,0.20743278167560997,-0.024746823844944074,-0.002559519068556268,True,0.004166666666666667,False,False,-0.0020014624998362907,-0.014511109904610128,870
60,C1_policy_regime,POS,NEG,0.1021191497303516,491,-0.12902203851517843,339,0.23114118824553004,0.001998001998001998,99.9,0.001998001998001998,0.1960332923469985,-0.11195680584933844,0.23627912696882727,False,0.004166666666666667,True,True,-4.492562723417591e-05,0.009192533127867481,865
60,C2_vol_regime,CALM,TURBULENT,0.04611082185756345,635,-0.08508471136402246,228,0.1311955332215859,0.0999000999000999,90.10000000000001,0.09090909090909091,0.21412689873111956,0.18575013799557719,0.039209198409009244,True,0.004166666666666667,False,False,-4.492562723417591e-05,0.009192533127867481,865
60,C3_trend,UP,DOWN,0.006529657411228263,608,-0.002791186363105375,251,0.009320843774333638,0.8781218781218781,12.2,0.9310689310689311,0.2081524584455037,-0.003030543524065246,0.002910984391316887,False,0.004166666666666667,False,False,-4.492562723417591e-05,0.009192533127867481,865
