datetime,pnl,position_owner
2024-01-02 16:00,-1080.0,L1
2024-01-04 15:00,1870.0,L1
2024-01-05 10:00,2404.0000000000146,L2
2024-01-09 06:00,-1985.0,L2
2024-01-09 16:00,1870.0,L1
2024-01-10 14:00,2404.0000000000146,L2
2024-01-11 06:00,2404.0000000000146,L2
2024-01-17 05:00,-1005.0,L1
2024-01-17 20:00,1870.0,L1
2024-01-18 19:00,1870.0,L1
2024-01-19 09:00,-1090.0,L1
2024-01-19 13:00,1870.0,L1
2024-01-24 22:00,-2450.0,L2
2024-01-25 11:00,-1265.9999999999854,L1
2024-01-25 22:00,-1065.0,L1
2024-01-28 18:00,-3341.999999999971,L2
2024-01-29 16:00,-1050.0,L1
2024-01-30 18:00,2404.0000000000146,L2
2024-01-31 07:00,-1265.9999999999854,L1
2024-01-31 11:00,-1045.0,L1
2024-02-01 10:00,-2735.0,L2
2024-02-01 15:00,1870.0,L1
2024-02-01 18:00,2404.0000000000146,L2
2024-02-07 22:00,155.0,L2
2024-02-08 03:00,-1245.0,L1
2024-02-13 06:00,2404.0000000000146,L2
2024-02-13 13:00,1870.0,L1
2024-02-14 05:00,-1265.9999999999854,L1
2024-02-14 15:00,1870.0,L1
2024-02-15 22:00,-1230.0,L1
2024-02-16 10:00,125.0,L2
2024-02-18 21:00,1870.0,L1
2024-02-20 07:00,-1265.9999999999854,L1
2024-02-20 10:00,1185.0,L2
2024-02-20 12:00,-1155.0,L1
2024-02-20 15:00,-1060.0,L1
2024-02-22 14:00,-3010.0,L2
2024-03-01 03:00,-1265.9999999999854,L1
2024-03-01 06:00,-3030.0,L2
2024-03-01 14:00,-1265.9999999999854,L1
2024-03-04 22:00,2404.0000000000146,L2
2024-03-05 10:00,2404.0000000000146,L2
2024-03-05 14:00,-3065.0,L2
2024-03-06 09:00,-1105.0,L1
2024-03-06 12:00,-1265.9999999999854,L1
2024-03-06 22:00,-3080.0,L2
2024-03-10 20:00,-1010.0,L1
2024-03-11 02:00,-1265.9999999999854,L1
2024-03-11 08:00,1870.0,L1
2024-03-12 02:00,-1075.0,L1
2024-03-12 05:00,-1265.9999999999854,L1
2024-03-12 15:00,-1265.9999999999854,L1
2024-03-14 10:00,-285.0,L2
2024-03-14 14:00,-1265.9999999999854,L1
2024-03-15 10:00,-3150.0,L2
2024-03-18 10:00,-1230.0,L2
2024-03-18 16:00,1870.0,L1
2024-03-19 15:00,1870.0,L1
2024-03-21 06:00,960.0,L2
2024-03-21 15:00,1870.0,L1
2024-03-26 09:00,1870.0,L1
2024-03-27 12:00,-1025.0,L1
2024-04-02 10:00,-3200.0,L2
2024-04-03 19:00,1870.0,L1
2024-04-03 22:00,2404.0000000000146,L2
2024-04-11 06:00,-3205.0,L2
2024-04-11 14:00,-3245.0,L2
2024-04-16 07:00,1870.0,L1
2024-04-16 22:00,-670.0,L2
2024-04-17 09:00,-1080.0,L1
2024-04-18 14:00,2404.0000000000146,L2
2024-04-22 16:00,-1020.0,L1
2024-04-23 09:00,1870.0,L1
2024-04-23 10:00,1255.0,L2
2024-04-23 11:00,1870.0,L1
2024-04-25 03:00,-1060.0,L1
2024-04-25 10:00,-3205.0,L2
2024-04-26 13:00,-1265.9999999999854,L1
2024-04-30 10:00,-1095.0,L1
2024-04-30 15:00,1870.0,L1
2024-05-02 10:00,1870.0,L1
2024-05-02 15:00,1870.0,L1
2024-05-03 05:00,1870.0,L1
2024-05-08 00:00,1870.0,L1
2024-05-10 06:00,-1005.0,L2
2024-05-10 13:00,-1265.9999999999854,L1
2024-05-14 11:00,1870.0,L1
2024-05-15 10:00,2404.0000000000146,L2
2024-05-15 13:00,1870.0,L1
