year,scale,pnl,dd,retDD,n,win
2024,0.5,33238.0,13211.0,2.516,148,65.5
2024,0.6,23027.0,14732.0,1.563,143,62.2
2024,0.75,18112.0,24321.0,0.745,132,60.6
2024,0.9,15536.0,32115.0,0.484,119,59.7
2024,1.0,117.0,31215.0,0.004,114,57.0
2024,1.25,-19876.0,43331.0,-0.459,100,54.0
2025,0.5,58062.0,8091.0,7.176,188,68.6
2025,0.6,69096.0,10158.0,6.802,185,68.6
2025,0.75,72392.0,12858.0,5.63,176,67.0
2025,0.9,97704.0,9560.0,10.22,160,69.4
2025,1.0,113304.0,10505.0,10.786,157,70.1
2025,1.25,80060.0,24533.0,3.263,141,65.2
2026,0.5,8979.0,7417.0,1.211,64,62.5
2026,0.6,12132.0,6251.0,1.941,63,63.5
2026,0.75,23227.0,7820.0,2.97,60,66.7
2026,0.9,28429.0,13590.0,2.092,58,67.2
2026,1.0,28899.0,14082.0,2.052,57,66.7
2026,1.25,-4551.0,42651.0,-0.107,50,56.0
