Date,Close,M_period,M_run_lo,M_run_hi,M_margin_pts,M_newrepeat,M_trend,Q_period,Q_run_lo,Q_run_hi,Q_margin_pts,Q_newrepeat,Q_trend,Y_period,Y_run_lo,Y_run_hi,Y_margin_pts,Y_newrepeat,Y_trend,trend_agree3,trend_agree_MQ
2025-01-01 18:00:00,21322.2,2025-01,21121.8,21333.0,1066.1,REPEAT,NEUTRAL,2025-Q1,21121.8,21333.0,1066.1,REPEAT,NEUTRAL,2025,21121.8,21333.0,1066.1,REPEAT,NEUTRAL,False,False
2025-01-01 22:00:00,21389.5,2025-01,21121.8,21396.8,1069.5,REPEAT,NEUTRAL,2025-Q1,21121.8,21396.8,1069.5,REPEAT,NEUTRAL,2025,21121.8,21396.8,1069.5,REPEAT,NEUTRAL,False,False
2025-01-02 02:00:00,21397.8,2025-01,21121.8,21424.5,1069.9,REPEAT,NEUTRAL,2025-Q1,21121.8,21424.5,1069.9,REPEAT,NEUTRAL,2025,21121.8,21424.5,1069.9,REPEAT,NEUTRAL,False,False
2025-01-02 06:00:00,21391.2,2025-01,21121.8,21490.5,1069.6,REPEAT,NEUTRAL,2025-Q1,21121.8,21490.5,1069.6,REPEAT,NEUTRAL,2025,21121.8,21490.5,1069.6,REPEAT,NEUTRAL,False,False
2025-01-02 10:00:00,21047.5,2025-01,20983.8,21490.5,1052.4,REPEAT,NEUTRAL,2025-Q1,20983.8,21490.5,1052.4,REPEAT,NEUTRAL,2025,20983.8,21490.5,1052.4,REPEAT,NEUTRAL,False,False
2025-01-02 14:00:00,21182.5,2025-01,20983.8,21490.5,1059.1,REPEAT,NEUTRAL,2025-Q1,20983.8,21490.5,1059.1,REPEAT,NEUTRAL,2025,20983.8,21490.5,1059.1,REPEAT,NEUTRAL,False,False
2025-01-02 18:00:00,21242.5,2025-01,20983.8,21490.5,1062.1,REPEAT,NEUTRAL,2025-Q1,20983.8,21490.5,1062.1,REPEAT,NEUTRAL,2025,20983.8,21490.5,1062.1,REPEAT,NEUTRAL,False,False
2025-01-02 22:00:00,21237.2,2025-01,20983.8,21490.5,1061.9,REPEAT,NEUTRAL,2025-Q1,20983.8,21490.5,1061.9,REPEAT,NEUTRAL,2025,20983.8,21490.5,1061.9,REPEAT,NEUTRAL,False,False
2025-01-03 02:00:00,21237.0,2025-01,20983.8,21490.5,1061.9,REPEAT,NEUTRAL,2025-Q1,20983.8,21490.5,1061.9,REPEAT,NEUTRAL,2025,20983.8,21490.5,1061.9,REPEAT,NEUTRAL,False,False
2025-01-03 06:00:00,21382.2,2025-01,20983.8,21490.5,1069.1,REPEAT,NEUTRAL,2025-Q1,20983.8,21490.5,1069.1,REPEAT,NEUTRAL,2025,20983.8,21490.5,1069.1,REPEAT,NEUTRAL,False,False
2025-01-03 10:00:00,21509.2,2025-01,20983.8,21531.2,1075.5,REPEAT,NEUTRAL,2025-Q1,20983.8,21531.2,1075.5,REPEAT,NEUTRAL,2025,20983.8,21531.2,1075.5,REPEAT,NEUTRAL,False,False
2025-01-03 14:00:00,21493.0,2025-01,20983.8,21559.2,1074.6,REPEAT,NEUTRAL,2025-Q1,20983.8,21559.2,1074.6,REPEAT,NEUTRAL,2025,20983.8,21559.2,1074.6,REPEAT,NEUTRAL,False,False
2025-01-05 18:00:00,21509.5,2025-01,20983.8,21559.2,1075.5,REPEAT,NEUTRAL,2025-Q1,20983.8,21559.2,1075.5,REPEAT,NEUTRAL,2025,20983.8,21559.2,1075.5,REPEAT,NEUTRAL,False,False
2025-01-05 22:00:00,21549.2,2025-01,20983.8,21559.2,1077.5,REPEAT,NEUTRAL,2025-Q1,20983.8,21559.2,1077.5,REPEAT,NEUTRAL,2025,20983.8,21559.2,1077.5,REPEAT,NEUTRAL,False,False
2025-01-06 02:00:00,21671.0,2025-01,20983.8,21693.2,1083.6,REPEAT,NEUTRAL,2025-Q1,20983.8,21693.2,1083.6,REPEAT,NEUTRAL,2025,20983.8,21693.2,1083.6,REPEAT,NEUTRAL,False,False
2025-01-06 06:00:00,21819.5,2025-01,20983.8,21848.8,1091.0,REPEAT,NEUTRAL,2025-Q1,20983.8,21848.8,1091.0,REPEAT,NEUTRAL,2025,20983.8,21848.8,1091.0,REPEAT,NEUTRAL,False,False
2025-01-06 10:00:00,21707.2,2025-01,20983.8,21896.8,1085.4,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1085.4,REPEAT,NEUTRAL,2025,20983.8,21896.8,1085.4,REPEAT,NEUTRAL,False,False
2025-01-06 14:00:00,21780.5,2025-01,20983.8,21896.8,1089.0,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1089.0,REPEAT,NEUTRAL,2025,20983.8,21896.8,1089.0,REPEAT,NEUTRAL,False,False
2025-01-06 18:00:00,21737.8,2025-01,20983.8,21896.8,1086.9,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1086.9,REPEAT,NEUTRAL,2025,20983.8,21896.8,1086.9,REPEAT,NEUTRAL,False,False
2025-01-06 22:00:00,21690.8,2025-01,20983.8,21896.8,1084.5,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1084.5,REPEAT,NEUTRAL,2025,20983.8,21896.8,1084.5,REPEAT,NEUTRAL,False,False
2025-01-07 02:00:00,21768.2,2025-01,20983.8,21896.8,1088.4,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1088.4,REPEAT,NEUTRAL,2025,20983.8,21896.8,1088.4,REPEAT,NEUTRAL,False,False
2025-01-07 06:00:00,21709.8,2025-01,20983.8,21896.8,1085.5,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1085.5,REPEAT,NEUTRAL,2025,20983.8,21896.8,1085.5,REPEAT,NEUTRAL,False,False
2025-01-07 10:00:00,21440.0,2025-01,20983.8,21896.8,1072.0,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1072.0,REPEAT,NEUTRAL,2025,20983.8,21896.8,1072.0,REPEAT,NEUTRAL,False,False
2025-01-07 14:00:00,21375.5,2025-01,20983.8,21896.8,1068.8,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1068.8,REPEAT,NEUTRAL,2025,20983.8,21896.8,1068.8,REPEAT,NEUTRAL,False,False
2025-01-07 18:00:00,21419.5,2025-01,20983.8,21896.8,1071.0,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1071.0,REPEAT,NEUTRAL,2025,20983.8,21896.8,1071.0,REPEAT,NEUTRAL,False,False
2025-01-07 22:00:00,21400.0,2025-01,20983.8,21896.8,1070.0,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1070.0,REPEAT,NEUTRAL,2025,20983.8,21896.8,1070.0,REPEAT,NEUTRAL,False,False
2025-01-08 02:00:00,21443.8,2025-01,20983.8,21896.8,1072.2,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1072.2,REPEAT,NEUTRAL,2025,20983.8,21896.8,1072.2,REPEAT,NEUTRAL,False,False
2025-01-08 06:00:00,21344.2,2025-01,20983.8,21896.8,1067.2,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1067.2,REPEAT,NEUTRAL,2025,20983.8,21896.8,1067.2,REPEAT,NEUTRAL,False,False
2025-01-08 10:00:00,21325.5,2025-01,20983.8,21896.8,1066.3,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1066.3,REPEAT,NEUTRAL,2025,20983.8,21896.8,1066.3,REPEAT,NEUTRAL,False,False
2025-01-08 14:00:00,21325.5,2025-01,20983.8,21896.8,1066.3,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1066.3,REPEAT,NEUTRAL,2025,20983.8,21896.8,1066.3,REPEAT,NEUTRAL,False,False
2025-01-08 18:00:00,21345.0,2025-01,20983.8,21896.8,1067.2,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1067.2,REPEAT,NEUTRAL,2025,20983.8,21896.8,1067.2,REPEAT,NEUTRAL,False,False
2025-01-08 22:00:00,21314.2,2025-01,20983.8,21896.8,1065.7,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1065.7,REPEAT,NEUTRAL,2025,20983.8,21896.8,1065.7,REPEAT,NEUTRAL,False,False
2025-01-09 02:00:00,21327.5,2025-01,20983.8,21896.8,1066.4,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1066.4,REPEAT,NEUTRAL,2025,20983.8,21896.8,1066.4,REPEAT,NEUTRAL,False,False
2025-01-09 06:00:00,21301.5,2025-01,20983.8,21896.8,1065.1,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1065.1,REPEAT,NEUTRAL,2025,20983.8,21896.8,1065.1,REPEAT,NEUTRAL,False,False
2025-01-09 18:00:00,21273.2,2025-01,20983.8,21896.8,1063.7,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1063.7,REPEAT,NEUTRAL,2025,20983.8,21896.8,1063.7,REPEAT,NEUTRAL,False,False
2025-01-09 22:00:00,21245.8,2025-01,20983.8,21896.8,1062.3,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1062.3,REPEAT,NEUTRAL,2025,20983.8,21896.8,1062.3,REPEAT,NEUTRAL,False,False
2025-01-10 02:00:00,21315.8,2025-01,20983.8,21896.8,1065.8,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1065.8,REPEAT,NEUTRAL,2025,20983.8,21896.8,1065.8,REPEAT,NEUTRAL,False,False
2025-01-10 06:00:00,21052.8,2025-01,20983.8,21896.8,1052.6,REPEAT,NEUTRAL,2025-Q1,20983.8,21896.8,1052.6,REPEAT,NEUTRAL,2025,20983.8,21896.8,1052.6,REPEAT,NEUTRAL,False,False
2025-01-10 10:00:00,21167.2,2025-01,20874.8,21896.8,1058.4,REPEAT,NEUTRAL,2025-Q1,20874.8,21896.8,1058.4,REPEAT,NEUTRAL,2025,20874.8,21896.8,1058.4,REPEAT,NEUTRAL,False,False
2025-01-10 14:00:00,20997.8,2025-01,20874.8,21896.8,1049.9,REPEAT,NEUTRAL,2025-Q1,20874.8,21896.8,1049.9,REPEAT,NEUTRAL,2025,20874.8,21896.8,1049.9,REPEAT,NEUTRAL,False,False
2025-01-12 18:00:00,20925.8,2025-01,20874.8,21896.8,1046.3,REPEAT,NEUTRAL,2025-Q1,20874.8,21896.8,1046.3,REPEAT,NEUTRAL,2025,20874.8,21896.8,1046.3,REPEAT,NEUTRAL,False,False
2025-01-12 22:00:00,20905.8,2025-01,20858.5,21896.8,1045.3,REPEAT,NEUTRAL,2025-Q1,20858.5,21896.8,1045.3,REPEAT,NEUTRAL,2025,20858.5,21896.8,1045.3,REPEAT,NEUTRAL,False,False
2025-01-13 02:00:00,20750.2,2025-01,20694.0,21896.8,1037.5,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1037.5,REPEAT,NEUTRAL,2025,20694.0,21896.8,1037.5,REPEAT,NEUTRAL,False,False
2025-01-13 06:00:00,20801.8,2025-01,20694.0,21896.8,1040.1,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1040.1,REPEAT,NEUTRAL,2025,20694.0,21896.8,1040.1,REPEAT,NEUTRAL,False,False
2025-01-13 10:00:00,20892.5,2025-01,20694.0,21896.8,1044.6,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1044.6,REPEAT,NEUTRAL,2025,20694.0,21896.8,1044.6,REPEAT,NEUTRAL,False,False
2025-01-13 14:00:00,20992.2,2025-01,20694.0,21896.8,1049.6,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1049.6,REPEAT,NEUTRAL,2025,20694.0,21896.8,1049.6,REPEAT,NEUTRAL,False,False
2025-01-13 18:00:00,21043.2,2025-01,20694.0,21896.8,1052.2,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1052.2,REPEAT,NEUTRAL,2025,20694.0,21896.8,1052.2,REPEAT,NEUTRAL,False,False
2025-01-13 22:00:00,21046.5,2025-01,20694.0,21896.8,1052.3,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1052.3,REPEAT,NEUTRAL,2025,20694.0,21896.8,1052.3,REPEAT,NEUTRAL,False,False
2025-01-14 02:00:00,21095.2,2025-01,20694.0,21896.8,1054.8,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1054.8,REPEAT,NEUTRAL,2025,20694.0,21896.8,1054.8,REPEAT,NEUTRAL,False,False
2025-01-14 06:00:00,20981.2,2025-01,20694.0,21896.8,1049.1,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1049.1,REPEAT,NEUTRAL,2025,20694.0,21896.8,1049.1,REPEAT,NEUTRAL,False,False
2025-01-14 10:00:00,20997.2,2025-01,20694.0,21896.8,1049.9,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1049.9,REPEAT,NEUTRAL,2025,20694.0,21896.8,1049.9,REPEAT,NEUTRAL,False,False
2025-01-14 14:00:00,20977.5,2025-01,20694.0,21896.8,1048.9,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1048.9,REPEAT,NEUTRAL,2025,20694.0,21896.8,1048.9,REPEAT,NEUTRAL,False,False
2025-01-14 18:00:00,20937.8,2025-01,20694.0,21896.8,1046.9,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1046.9,REPEAT,NEUTRAL,2025,20694.0,21896.8,1046.9,REPEAT,NEUTRAL,False,False
2025-01-14 22:00:00,20948.2,2025-01,20694.0,21896.8,1047.4,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1047.4,REPEAT,NEUTRAL,2025,20694.0,21896.8,1047.4,REPEAT,NEUTRAL,False,False
2025-01-15 02:00:00,20965.0,2025-01,20694.0,21896.8,1048.2,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1048.2,REPEAT,NEUTRAL,2025,20694.0,21896.8,1048.2,REPEAT,NEUTRAL,False,False
2025-01-15 06:00:00,21327.2,2025-01,20694.0,21896.8,1066.4,REPEAT,NEUTRAL,2025-Q1,20694.0,21896.8,1066.4,REPEAT,NEUTRAL,2025,20694.0,21896.8,1066.4,REPEAT,NEUTRAL,False,False
