fold,span,cell,retDD,fixed_retDD,pnl,dd,n,beats_fixed
1,2024-01…2024-05,Q|mean_rev|both|W2.0/S0.6,-0.521,-0.521,-15902.0,30530.0,49,False
1,2024-01…2024-05,M|trend_follow|pinned|W1.25/S1.0,-0.491,-0.521,-14700.0,29929.0,49,True
1,2024-01…2024-05,Q|trend_follow|pinned|W1.25/S1.0,-0.521,-0.521,-15902.0,30530.0,49,False
2,2024-05…2024-10,Q|mean_rev|both|W2.0/S0.6,0.465,0.656,11305.0,24310.0,49,False
2,2024-05…2024-10,M|trend_follow|pinned|W1.25/S1.0,0.896,0.656,21191.0,23647.0,59,True
2,2024-05…2024-10,Q|trend_follow|pinned|W1.25/S1.0,0.896,0.656,21191.0,23647.0,59,True
3,2024-10…2025-03,Q|mean_rev|both|W2.0/S0.6,0.462,-0.37,10431.0,22599.0,61,True
3,2024-10…2025-03,M|trend_follow|pinned|W1.25/S1.0,-0.184,-0.37,-4638.0,25145.0,62,True
3,2024-10…2025-03,Q|trend_follow|pinned|W1.25/S1.0,-0.184,-0.37,-4638.0,25145.0,62,True
4,2025-03…2025-08,Q|mean_rev|both|W2.0/S0.6,1.498,4.168,19127.0,12767.0,58,False
4,2025-03…2025-08,M|trend_follow|pinned|W1.25/S1.0,4.569,4.168,47993.0,10505.0,60,True
4,2025-03…2025-08,Q|trend_follow|pinned|W1.25/S1.0,4.569,4.168,47993.0,10505.0,60,True
5,2025-08…2025-12,Q|mean_rev|both|W2.0/S0.6,5.06,5.123,47238.0,9335.0,55,False
5,2025-08…2025-12,M|trend_follow|pinned|W1.25/S1.0,5.574,5.123,52031.0,9335.0,55,True
5,2025-08…2025-12,Q|trend_follow|pinned|W1.25/S1.0,5.252,5.123,49026.0,9335.0,55,True
6,2025-12…2026-05,Q|mean_rev|both|W2.0/S0.6,2.705,1.693,36166.0,13368.0,51,True
6,2025-12…2026-05,M|trend_follow|pinned|W1.25/S1.0,1.73,1.693,28034.0,16204.0,53,True
6,2025-12…2026-05,Q|trend_follow|pinned|W1.25/S1.0,1.73,1.693,28034.0,16204.0,53,True
