period,low,low_time,high,high_time,mean_close,range_pts,margin_pts,signal,band_id,repeat_count,trend
2024-01,16334.25,2024-01-05 08:31:00,17793.5,2024-01-24 12:54:00,17092.78,1459.25,854.6,NEW_RANGE,0,1,NEUTRAL
2024-02,17262.75,2024-02-01 02:09:00,18144.75,2024-02-23 09:37:00,17818.67,882.0,890.9,NEW_RANGE,1,1,HIGH_TREND
2024-03,17832.5,2024-03-05 15:32:00,18709.0,2024-03-21 09:41:00,18329.12,876.5,916.5,REPEAT,1,2,HIGH_TREND
2024-04,17113.25,2024-04-19 15:46:00,18607.0,2024-04-01 09:46:00,17976.47,1493.75,898.8,REPEAT,0,2,LOW_TREND
2024-05,17386.25,2024-05-02 10:09:00,19023.25,2024-05-23 08:47:00,18439.42,1637.0,922.0,REPEAT,1,3,HIGH_TREND
2024-06,18435.75,2024-06-03 13:11:00,20371.0,2024-06-20 03:31:00,19574.2,1935.25,978.7,NEW_HIGH,2,1,HIGH_TREND
2024-07,18725.0,2024-07-30 16:03:00,20983.75,2024-07-11 08:33:00,20051.16,2258.75,1002.6,REPEAT,2,2,HIGH_TREND
2024-08,17351.0,2024-08-05 01:55:00,20025.25,2024-08-22 09:31:00,19152.36,2674.25,957.6,NEW_RANGE,3,1,LOW_TREND
2024-09,18339.75,2024-09-06 16:54:00,20538.0,2024-09-26 09:11:00,19572.09,2198.25,978.6,REPEAT,2,3,HIGH_TREND
2024-10,19818.0,2024-10-01 11:17:00,20788.5,2024-10-29 21:56:00,20350.98,970.5,1017.5,NEW_RANGE,4,1,HIGH_TREND
2024-11,20013.0,2024-11-04 09:37:00,21340.75,2024-11-11 08:02:00,20812.75,1327.75,1040.6,REPEAT,4,2,HIGH_TREND
2024-12,20940.0,2024-12-02 01:35:00,22425.75,2024-12-16 23:28:00,21641.37,1485.75,1082.1,NEW_HIGH,5,1,HIGH_TREND
2025-01,20694.0,2025-01-13 04:16:00,22093.5,2025-01-22 12:10:00,21471.94,1399.5,1073.6,REPEAT,4,3,LOW_TREND
2025-02,20460.5,2025-02-28 09:34:00,22319.75,2025-02-18 03:00:00,21708.75,1859.25,1085.4,REPEAT,4,4,NEUTRAL
2025-03,18976.75,2025-03-31 09:45:00,21121.0,2025-03-03 09:33:00,19972.29,2144.25,998.6,REPEAT,2,4,LOW_TREND
2025-04,16460.0,2025-04-06 19:10:00,20044.25,2025-04-02 16:17:00,18715.25,3584.25,935.8,REPEAT,3,2,LOW_TREND
2025-05,19678.75,2025-05-07 14:16:00,21858.75,2025-05-29 04:02:00,20892.68,2180.0,1044.6,REPEAT,4,5,HIGH_TREND
2025-06,21163.0,2025-06-02 03:29:00,22934.75,2025-06-30 15:55:00,21997.12,1771.75,1099.9,REPEAT,5,2,HIGH_TREND
2025-07,22582.0,2025-07-02 08:43:00,23845.0,2025-07-31 03:46:00,23159.53,1263.0,1158.0,NEW_RANGE,6,1,HIGH_TREND
2025-08,22775.0,2025-08-01 14:09:00,24068.5,2025-08-13 09:38:00,23544.69,1293.5,1177.2,REPEAT,6,2,HIGH_TREND
2025-09,23025.25,2025-09-02 09:31:00,25027.25,2025-09-22 15:15:00,24259.07,2002.0,1213.0,REPEAT,6,3,HIGH_TREND
2025-10,24158.5,2025-10-10 16:55:00,26399.0,2025-10-29 23:49:00,25296.85,2240.5,1264.8,NEW_HIGH,7,1,HIGH_TREND
2025-11,23904.5,2025-11-21 05:29:00,26266.0,2025-11-03 09:33:00,25233.65,2361.5,1261.7,REPEAT,7,2,LOW_TREND
2025-12,24887.75,2025-12-17 15:59:00,25935.25,2025-12-26 09:45:00,25579.7,1047.5,1279.0,REPEAT,7,3,NEUTRAL
2026-01,25025.0,2026-01-21 07:00:00,26349.0,2026-01-28 01:32:00,25722.77,1324.0,1286.1,REPEAT,7,4,HIGH_TREND
2026-02,24239.75,2026-02-05 19:16:00,26027.75,2026-02-03 02:58:00,25077.79,1788.0,1253.9,REPEAT,7,5,LOW_TREND
2026-03,22961.5,2026-03-30 20:23:00,25250.0,2026-03-04 19:17:00,24504.27,2288.5,1225.2,REPEAT,6,4,LOW_TREND
2026-04,23666.0,2026-04-02 08:12:00,27674.5,2026-04-30 23:31:00,25986.6,4008.5,1299.3,REPEAT,7,6,HIGH_TREND
2026-05,27536.25,2026-05-01 06:40:00,29782.0,2026-05-14 12:12:00,28835.23,2245.75,1441.8,NEW_HIGH,8,1,HIGH_TREND
