period,low,low_time,high,high_time,mean_close,range_pts,margin_pts,signal,band_id,repeat_count,trend
2024-Q1,16334.25,2024-01-05 08:31:00,18709.0,2024-03-21 09:41:00,17726.11,2374.75,886.3,NEW_RANGE,0,1,NEUTRAL
2024-Q2,17113.25,2024-04-19 15:46:00,20371.0,2024-06-20 03:31:00,18634.47,3257.75,931.7,NEW_HIGH,1,1,HIGH_TREND
2024-Q3,17351.0,2024-08-05 01:55:00,20983.75,2024-07-11 08:33:00,19598.53,3632.75,979.9,REPEAT,1,2,HIGH_TREND
2024-Q4,19818.0,2024-10-01 11:17:00,22425.75,2024-12-16 23:28:00,20916.16,2607.75,1045.8,NEW_HIGH,2,1,HIGH_TREND
2025-Q1,18976.75,2025-03-31 09:45:00,22319.75,2025-02-18 03:00:00,21037.5,3343.0,1051.9,REPEAT,2,2,LOW_TREND
2025-Q2,16460.0,2025-04-06 19:10:00,22934.75,2025-06-30 15:55:00,20540.22,6474.75,1027.0,NEW_RANGE,3,1,NEUTRAL
2025-Q3,22582.0,2025-07-02 08:43:00,25027.25,2025-09-22 15:15:00,23649.49,2445.25,1182.5,NEW_HIGH,4,1,HIGH_TREND
2025-Q4,23904.5,2025-11-21 05:29:00,26399.0,2025-10-29 23:49:00,25373.25,2494.5,1268.7,NEW_HIGH,5,1,HIGH_TREND
2026-Q1,22961.5,2026-03-30 20:23:00,26349.0,2026-01-28 01:32:00,25088.36,3387.5,1254.4,REPEAT,5,2,LOW_TREND
2026-Q2,23666.0,2026-04-02 08:12:00,29782.0,2026-05-14 12:12:00,27046.13,6116.0,1352.3,NEW_HIGH,6,1,HIGH_TREND
