long_scale,short_scale,pnl,dd,retDD,n,win,pnl_2024,pnl_2025,pnl_2026,vs_base_pnl,symmetric
1.0,1.0,142203.0,14082.0,10.098,214,69.2,117.0,113304.0,28899.0,0.0,True
1.0,0.75,117078.0,12698.0,9.22,220,67.3,12817.0,86389.0,30689.0,-25125.0,False
0.5,0.5,67041.0,8091.0,8.286,252,67.1,33238.0,58062.0,8979.0,-75162.0,True
0.75,0.5,97291.0,12806.0,7.597,242,68.2,15590.0,72721.0,24570.0,-44912.0,False
0.75,1.0,116173.0,15348.0,7.569,229,68.1,-251.0,94900.0,21273.0,-26030.0,False
0.75,0.75,95619.0,12858.0,7.437,236,66.9,18112.0,72392.0,23227.0,-46584.0,True
0.75,1.25,118352.0,17808.0,6.646,222,67.6,-17991.0,87210.0,31142.0,-23851.0,False
1.0,0.5,116132.0,17531.0,6.624,225,68.0,19806.0,88819.0,27313.0,-26071.0,False
0.75,1.5,118580.0,18364.0,6.457,215,67.0,-26067.0,76955.0,41625.0,-23623.0,False
0.5,0.75,69746.0,11788.0,5.917,247,66.4,32201.0,57625.0,12121.0,-72457.0,False
1.0,1.5,140548.0,24911.0,5.642,201,68.2,-17952.0,99786.0,40762.0,-1655.0,False
1.0,1.25,140434.0,24975.0,5.623,207,68.6,-15154.0,108953.0,31481.0,-1769.0,False
0.5,1.25,95441.0,17278.0,5.524,233,67.0,-21627.0,74613.0,20828.0,-46762.0,False
0.5,1.0,91975.0,18857.0,4.877,240,67.5,3036.0,81702.0,10273.0,-50228.0,False
0.5,1.5,89627.0,19263.0,4.653,226,65.9,-25317.0,66762.0,22865.0,-52576.0,False
1.5,1.0,108031.0,36360.0,2.971,186,65.6,24763.0,108535.0,-504.0,-34172.0,False
1.25,1.0,98521.0,35122.0,2.805,198,65.2,-4488.0,98387.0,134.0,-43682.0,False
1.25,0.75,76848.0,29773.0,2.581,204,63.2,4041.0,75108.0,1740.0,-65355.0,False
1.5,0.75,87684.0,33998.0,2.579,193,63.7,39157.0,87644.0,40.0,-54519.0,False
1.25,0.5,77668.0,33737.0,2.302,209,64.1,10074.0,76550.0,1118.0,-64535.0,False
1.5,0.5,82212.0,39983.0,2.056,198,64.1,44285.0,83554.0,-1342.0,-59991.0,False
1.5,1.25,93188.0,49377.0,1.887,182,63.7,1840.0,98540.0,-5352.0,-49015.0,False
1.5,1.5,85735.0,49706.0,1.725,178,62.9,14428.0,81775.0,3960.0,-56468.0,True
1.25,1.5,79564.0,52619.0,1.512,186,62.9,-7715.0,76036.0,3528.0,-62639.0,False
1.25,1.25,75509.0,51816.0,1.457,191,62.8,-19876.0,80060.0,-4551.0,-66694.0,True
