time,close,ifvg,breaker,cisd
2024-01-03 02:00:00,16657.5,0,0,-1
2024-01-03 06:00:00,16613.75,0,0,-1
2024-01-03 10:00:00,16585.5,0,0,-1
2024-01-03 14:00:00,16542.75,0,0,-1
2024-01-04 06:00:00,16460.75,0,0,-1
2024-01-04 14:00:00,16450.75,0,0,-1
2024-01-04 18:00:00,16451.5,0,0,-1
2024-01-04 22:00:00,16412.0,0,0,-1
2024-01-05 02:00:00,16385.5,0,0,-1
2024-01-05 06:00:00,16471.5,1,0,0
2024-01-05 10:00:00,16488.5,1,0,0
2024-01-05 14:00:00,16465.0,1,0,0
2024-01-07 22:00:00,16438.5,1,0,0
2024-01-08 06:00:00,16628.5,0,1,1
2024-01-08 10:00:00,16741.5,1,1,1
2024-01-08 14:00:00,16788.25,0,0,1
2024-01-08 18:00:00,16794.5,0,0,1
2024-01-09 02:00:00,16730.25,-1,0,0
2024-01-09 06:00:00,16705.0,1,1,0
2024-01-09 10:00:00,16840.75,1,1,1
2024-01-09 22:00:00,16812.75,0,0,-1
2024-01-10 02:00:00,16873.75,0,0,1
2024-01-10 10:00:00,16924.5,0,0,1
2024-01-10 14:00:00,16957.0,0,0,1
2024-01-10 18:00:00,16994.25,1,0,1
2024-01-10 22:00:00,17007.5,1,0,1
2024-01-11 02:00:00,17004.0,1,0,0
2024-01-11 06:00:00,16958.25,1,0,0
2024-01-11 10:00:00,16933.75,1,0,0
2024-01-11 14:00:00,16958.25,1,0,0
2024-01-11 18:00:00,16958.0,1,0,0
2024-01-11 22:00:00,16958.0,1,0,0
2024-01-12 02:00:00,16923.5,1,0,-1
2024-01-12 06:00:00,16986.0,1,1,1
2024-01-12 10:00:00,16979.25,1,1,0
2024-01-12 14:00:00,16955.25,1,1,0
2024-01-14 18:00:00,16980.25,1,0,0
2024-01-14 22:00:00,17008.5,1,0,1
2024-01-15 02:00:00,16969.25,1,0,0
2024-01-15 06:00:00,16952.5,1,-1,-1
2024-01-15 10:00:00,16970.0,1,-1,0
2024-01-15 18:00:00,16902.5,1,-1,-1
2024-01-15 22:00:00,16881.0,1,0,-1
2024-01-16 02:00:00,16845.75,1,0,-1
2024-01-16 06:00:00,16913.75,1,0,0
2024-01-16 10:00:00,16902.25,1,-1,0
2024-01-16 14:00:00,16978.0,1,1,1
2024-01-16 18:00:00,16928.75,1,1,0
2024-01-16 22:00:00,16843.25,1,0,-1
2024-01-17 02:00:00,16871.75,1,0,0
2024-01-17 06:00:00,16707.0,1,1,-1
2024-01-17 10:00:00,16761.0,-1,1,0
2024-01-17 14:00:00,16860.25,-1,-1,0
2024-01-17 18:00:00,16854.25,0,-1,0
2024-01-17 22:00:00,16892.5,0,1,1
2024-01-18 02:00:00,16942.5,1,1,1
2024-01-18 06:00:00,17027.75,0,1,1
2024-01-18 10:00:00,17016.25,0,1,0
2024-01-18 14:00:00,17117.25,0,0,1
2024-01-18 18:00:00,17169.75,0,0,1
2024-01-19 02:00:00,17235.25,0,0,1
2024-01-19 10:00:00,17395.25,0,0,1
2024-01-19 14:00:00,17462.75,0,0,1
2024-01-21 18:00:00,17549.75,0,0,1
2024-01-22 10:00:00,17479.25,0,0,-1
2024-01-22 14:00:00,17455.5,-1,0,-1
2024-01-22 18:00:00,17470.25,-1,0,0
2024-01-22 22:00:00,17476.75,-1,0,0
2024-01-23 02:00:00,17448.5,-1,0,-1
2024-01-23 06:00:00,17473.75,-1,0,0
2024-01-23 10:00:00,17481.75,-1,0,1
2024-01-23 14:00:00,17552.5,1,0,1
2024-01-23 18:00:00,17586.25,0,0,1
2024-01-23 22:00:00,17620.25,0,0,1
2024-01-24 02:00:00,17651.0,0,0,1
2024-01-24 06:00:00,17669.75,0,0,1
2024-01-24 10:00:00,17714.75,0,0,1
2024-01-24 14:00:00,17630.25,-1,0,0
2024-01-24 18:00:00,17601.5,-1,0,0
2024-01-25 02:00:00,17617.75,-1,0,0
2024-01-25 06:00:00,17668.5,1,0,1
2024-01-25 10:00:00,17576.75,1,0,-1
2024-01-25 14:00:00,17579.5,-1,0,0
2024-01-25 18:00:00,17518.75,-1,0,-1
2024-01-25 22:00:00,17499.0,1,0,-1
2024-01-26 02:00:00,17534.5,1,0,0
2024-01-26 06:00:00,17548.75,1,0,0
2024-01-26 10:00:00,17518.5,1,0,0
2024-01-26 14:00:00,17504.75,-1,0,0
2024-01-28 18:00:00,17534.5,1,0,0
2024-01-29 02:00:00,17563.75,-1,0,1
2024-01-29 06:00:00,17558.25,-1,0,0
2024-01-29 10:00:00,17587.75,-1,0,1
2024-01-29 14:00:00,17700.25,-1,1,1
2024-01-29 18:00:00,17717.5,0,0,1
2024-01-30 02:00:00,17699.0,0,1,0
2024-01-30 06:00:00,17669.25,0,1,0
2024-01-30 10:00:00,17570.75,-1,1,0
2024-01-30 14:00:00,17470.25,1,-1,-1
2024-01-30 18:00:00,17439.75,0,-1,0
2024-01-30 22:00:00,17431.5,0,-1,0
2024-01-31 02:00:00,17357.25,-1,-1,-1
2024-01-31 06:00:00,17369.5,-1,-1,0
2024-01-31 10:00:00,17382.75,-1,0,0
2024-01-31 14:00:00,17265.25,-1,-1,-1
2024-01-31 22:00:00,17271.0,0,0,-1
2024-02-01 02:00:00,17353.0,0,0,1
2024-02-01 10:00:00,17373.5,-1,0,1
2024-02-01 14:00:00,17628.0,1,-1,1
2024-02-01 18:00:00,17618.75,-1,0,1
2024-02-01 22:00:00,17608.25,-1,0,0
2024-02-02 02:00:00,17609.0,-1,0,0
2024-02-02 06:00:00,17594.0,1,0,-1
2024-02-02 10:00:00,17728.25,1,1,1
2024-02-02 14:00:00,17687.0,0,1,0
2024-02-05 10:00:00,17697.0,1,0,0
2024-02-05 18:00:00,17723.75,0,0,1
2024-02-05 22:00:00,17736.75,0,0,1
2024-02-06 02:00:00,17736.5,0,0,1
2024-02-06 06:00:00,17654.0,0,-1,-1
