pivot_time,pivot_price,kind,label,prior_ref,delta_pts,confirmed_time
2024-01-05 02:00:00,16385.5,low,FIRST,,,2024-01-07 22:00:00
2024-01-08 02:00:00,16424.25,low,HL,16385.5,38.75,2024-01-08 22:00:00
2024-01-09 06:00:00,16705.0,low,HL,16424.25,280.75,2024-01-10 02:00:00
2024-01-10 22:00:00,17007.5,high,FIRST,,,2024-01-11 18:00:00
2024-01-12 02:00:00,16923.5,low,HL,16705.0,218.5,2024-01-14 22:00:00
2024-01-14 22:00:00,17008.5,high,HH,17007.5,1.0,2024-01-15 22:00:00
2024-01-16 14:00:00,16978.0,high,LH,17008.5,-30.5,2024-01-17 10:00:00
2024-01-17 06:00:00,16707.0,low,LL,16923.5,-216.5,2024-01-18 02:00:00
2024-01-21 18:00:00,17549.75,high,HH,16978.0,571.75,2024-01-22 14:00:00
2024-01-23 02:00:00,17448.5,low,HL,16707.0,741.5,2024-01-23 22:00:00
2024-01-24 10:00:00,17714.75,high,HH,17549.75,165.0,2024-01-25 06:00:00
2024-01-25 22:00:00,17499.0,low,HL,17448.5,50.5,2024-01-28 18:00:00
2024-01-29 18:00:00,17717.5,high,HH,17714.75,2.75,2024-01-30 14:00:00
2024-01-31 14:00:00,17265.25,low,LL,17499.0,-233.75,2024-02-01 10:00:00
2024-02-02 10:00:00,17728.25,high,HH,17717.5,10.75,2024-02-05 06:00:00
2024-02-05 22:00:00,17736.75,high,HH,17728.25,8.5,2024-02-06 18:00:00
2024-02-06 10:00:00,17630.75,low,HL,17265.25,365.5,2024-02-07 06:00:00
2024-02-12 02:00:00,18051.25,high,HH,17736.75,314.5,2024-02-12 22:00:00
2024-02-13 10:00:00,17657.0,low,HL,17630.75,26.25,2024-02-14 06:00:00
2024-02-16 02:00:00,18017.5,high,LH,18051.25,-33.75,2024-02-18 22:00:00
2024-02-16 14:00:00,17721.5,low,HL,17657.0,64.5,2024-02-19 10:00:00
2024-02-21 10:00:00,17452.25,low,LL,17721.5,-269.25,2024-02-22 06:00:00
2024-02-23 06:00:00,18079.75,high,HH,18017.5,62.25,2024-02-26 02:00:00
2024-02-25 22:00:00,17941.0,low,HL,17452.25,488.75,2024-02-26 18:00:00
2024-02-26 22:00:00,17944.0,low,HL,17941.0,3.0,2024-02-27 18:00:00
2024-02-28 14:00:00,17860.5,low,LL,17944.0,-83.5,2024-02-29 10:00:00
2024-03-03 18:00:00,18356.5,high,HH,18079.75,276.75,2024-03-04 14:00:00
2024-03-05 10:00:00,17879.25,low,HL,17860.5,18.75,2024-03-06 06:00:00
2024-03-06 18:00:00,17947.5,low,HL,17879.25,68.25,2024-03-07 14:00:00
2024-03-08 06:00:00,18387.5,high,HH,18356.5,31.0,2024-03-11 02:00:00
2024-03-08 10:00:00,18046.0,low,HL,17947.5,98.5,2024-03-11 06:00:00
2024-03-12 22:00:00,18482.75,high,HH,18387.5,95.25,2024-03-13 18:00:00
2024-03-13 06:00:00,18338.5,low,HL,18046.0,292.5,2024-03-14 02:00:00
2024-03-14 02:00:00,18417.0,high,LH,18482.75,-65.75,2024-03-14 22:00:00
2024-03-15 14:00:00,18063.5,low,LL,18338.5,-275.0,2024-03-18 10:00:00
2024-03-18 06:00:00,18289.25,high,LH,18417.0,-127.75,2024-03-19 02:00:00
2024-03-19 06:00:00,18090.5,low,HL,18063.5,27.0,2024-03-20 02:00:00
2024-03-21 06:00:00,18648.0,high,HH,18289.25,358.75,2024-03-22 02:00:00
2024-03-22 10:00:00,18622.5,high,LH,18648.0,-25.5,2024-03-25 06:00:00
2024-03-25 06:00:00,18479.0,low,HL,18090.5,388.5,2024-03-26 02:00:00
2024-03-26 02:00:00,18603.25,high,LH,18622.5,-19.25,2024-03-26 22:00:00
2024-03-27 10:00:00,18430.25,low,LL,18479.0,-48.75,2024-03-28 06:00:00
2024-04-01 06:00:00,18586.0,high,LH,18603.25,-17.25,2024-04-02 02:00:00
2024-04-02 06:00:00,18254.75,low,LL,18430.25,-175.5,2024-04-03 02:00:00
2024-04-04 06:00:00,18518.0,high,LH,18586.0,-68.0,2024-04-05 02:00:00
2024-04-04 18:00:00,18071.0,low,LL,18254.75,-183.75,2024-04-05 14:00:00
2024-04-07 18:00:00,18323.5,high,LH,18518.0,-194.5,2024-04-08 14:00:00
2024-04-09 14:00:00,18384.75,high,HH,18323.5,61.25,2024-04-10 10:00:00
2024-04-11 02:00:00,18160.5,low,HL,18071.0,89.5,2024-04-11 22:00:00
2024-04-11 18:00:00,18497.75,high,HH,18384.75,113.0,2024-04-12 14:00:00
2024-04-12 10:00:00,18161.75,low,HL,18160.5,1.25,2024-04-15 06:00:00
2024-04-15 06:00:00,18304.5,high,LH,18497.75,-193.25,2024-04-16 02:00:00
2024-04-16 02:00:00,17844.25,low,LL,18161.75,-317.5,2024-04-16 22:00:00
2024-04-17 02:00:00,17929.75,high,LH,18304.5,-374.75,2024-04-17 22:00:00
2024-04-19 14:00:00,17179.25,low,LL,17844.25,-665.0,2024-04-22 10:00:00
2024-04-23 22:00:00,17740.75,high,LH,17929.75,-189.0,2024-04-24 18:00:00
2024-04-25 06:00:00,17356.5,low,HL,17179.25,177.25,2024-04-26 02:00:00
2024-04-28 22:00:00,17921.25,high,HH,17740.75,180.5,2024-04-29 18:00:00
2024-05-01 02:00:00,17436.0,low,HL,17356.5,79.5,2024-05-01 22:00:00
2024-05-07 18:00:00,18204.0,high,HH,17921.25,282.75,2024-05-08 14:00:00
2024-05-09 02:00:00,18130.0,low,HL,17436.0,694.0,2024-05-09 22:00:00
2024-05-10 06:00:00,18328.75,high,HH,18204.0,124.75,2024-05-13 02:00:00
2024-05-13 18:00:00,18276.75,low,HL,18130.0,146.75,2024-05-14 14:00:00
2024-05-15 22:00:00,18723.5,high,HH,18328.75,394.75,2024-05-16 18:00:00
2024-05-17 10:00:00,18615.25,low,HL,18276.75,338.5,2024-05-20 06:00:00
2024-05-20 06:00:00,18749.5,high,HH,18723.5,26.0,2024-05-21 02:00:00
2024-05-21 06:00:00,18707.75,low,HL,18615.25,92.5,2024-05-22 02:00:00
2024-05-22 10:00:00,18771.75,low,HL,18707.75,64.0,2024-05-23 06:00:00
2024-05-22 22:00:00,18950.5,high,HH,18749.5,201.0,2024-05-23 18:00:00
2024-05-23 14:00:00,18686.5,low,LL,18771.75,-85.25,2024-05-24 10:00:00
2024-05-24 10:00:00,18903.5,high,LH,18950.5,-47.0,2024-05-27 06:00:00
2024-05-28 02:00:00,18969.0,high,HH,18903.5,65.5,2024-05-28 22:00:00
2024-05-31 10:00:00,18341.25,low,LL,18686.5,-345.25,2024-06-03 06:00:00
2024-06-03 06:00:00,18677.0,high,LH,18969.0,-292.0,2024-06-04 02:00:00
2024-06-04 02:00:00,18543.0,low,HL,18341.25,201.75,2024-06-04 22:00:00
2024-06-05 18:00:00,19099.0,high,HH,18677.0,422.0,2024-06-06 14:00:00
2024-06-07 10:00:00,19114.75,high,HH,19099.0,15.75,2024-06-10 06:00:00
2024-06-10 06:00:00,18993.5,low,HL,18543.0,450.5,2024-06-11 02:00:00
2024-06-11 06:00:00,19032.25,low,HL,18993.5,38.75,2024-06-12 02:00:00
2024-06-14 02:00:00,19556.5,low,HL,19032.25,524.25,2024-06-16 22:00:00
2024-06-18 02:00:00,20237.75,high,HH,19114.75,1123.0,2024-06-18 22:00:00
2024-06-19 22:00:00,20327.5,high,HH,20237.75,89.75,2024-06-20 18:00:00
2024-06-24 14:00:00,19752.5,low,HL,19556.5,196.0,2024-06-25 10:00:00
2024-06-26 02:00:00,20022.75,high,LH,20327.5,-304.75,2024-06-26 22:00:00
2024-06-26 18:00:00,19919.5,low,HL,19752.5,167.0,2024-06-27 14:00:00
2024-06-28 06:00:00,20147.5,high,HH,20022.75,124.75,2024-07-01 02:00:00
2024-07-01 06:00:00,19887.75,low,LL,19919.5,-31.75,2024-07-02 02:00:00
2024-07-03 10:00:00,20419.5,high,HH,20147.5,272.0,2024-07-04 10:00:00
2024-07-04 10:00:00,20381.25,low,HL,19887.75,493.5,2024-07-05 10:00:00
2024-07-09 06:00:00,20749.5,high,HH,20419.5,330.0,2024-07-10 02:00:00
2024-07-09 10:00:00,20660.5,low,HL,20381.25,279.25,2024-07-10 06:00:00
2024-07-10 14:00:00,20896.5,high,HH,20749.5,147.0,2024-07-11 10:00:00
2024-07-11 10:00:00,20391.0,low,LL,20660.5,-269.5,2024-07-12 06:00:00
2024-07-12 10:00:00,20710.25,high,LH,20896.5,-186.25,2024-07-15 06:00:00
2024-07-15 22:00:00,20640.25,high,LH,20710.25,-70.0,2024-07-16 18:00:00
2024-07-19 14:00:00,19701.5,low,LL,20391.0,-689.5,2024-07-22 10:00:00
2024-07-23 06:00:00,20006.25,high,LH,20640.25,-634.0,2024-07-24 02:00:00
2024-07-25 10:00:00,19289.5,high,LH,20006.25,-716.75,2024-07-26 06:00:00
2024-07-25 14:00:00,18994.75,low,LL,19701.5,-706.75,2024-07-26 10:00:00
2024-07-29 06:00:00,19358.5,high,HH,19289.5,69.0,2024-07-30 02:00:00
2024-07-30 14:00:00,18861.25,low,LL,18994.75,-133.5,2024-07-31 10:00:00
2024-07-31 22:00:00,19690.75,high,HH,19358.5,332.25,2024-08-01 18:00:00
2024-08-04 22:00:00,17554.25,low,LL,18861.25,-1307.0,2024-08-05 18:00:00
2024-08-07 06:00:00,18520.5,high,LH,19690.75,-1170.25,2024-08-08 02:00:00
2024-08-07 14:00:00,17854.5,low,HL,17554.25,300.25,2024-08-08 10:00:00
2024-08-09 06:00:00,18432.0,low,HL,17854.5,577.5,2024-08-12 02:00:00
2024-08-12 06:00:00,18540.25,low,HL,18432.0,108.25,2024-08-13 02:00:00
2024-08-14 06:00:00,19029.5,low,HL,18540.25,489.25,2024-08-15 02:00:00
2024-08-15 22:00:00,19660.0,high,HH,18520.5,1139.5,2024-08-18 18:00:00
2024-08-16 06:00:00,19498.0,low,HL,19029.5,468.5,2024-08-19 02:00:00
2024-08-20 06:00:00,19918.5,high,HH,19660.0,258.5,2024-08-21 02:00:00
2024-08-21 02:00:00,19794.75,low,HL,19498.0,296.75,2024-08-21 22:00:00
2024-08-22 06:00:00,19976.0,high,HH,19918.5,57.5,2024-08-23 02:00:00
2024-08-22 10:00:00,19607.75,low,LL,19794.75,-187.0,2024-08-23 06:00:00
2024-08-26 02:00:00,19838.0,high,LH,19976.0,-138.0,2024-08-26 22:00:00
2024-08-26 10:00:00,19536.75,low,LL,19607.75,-71.0,2024-08-27 06:00:00
2024-08-27 10:00:00,19686.25,high,LH,19838.0,-151.75,2024-08-28 06:00:00
2024-08-28 18:00:00,19230.0,low,LL,19536.75,-306.75,2024-08-29 14:00:00
2024-08-29 06:00:00,19643.75,high,LH,19686.25,-42.5,2024-08-30 02:00:00
2024-09-02 10:00:00,19647.0,high,HH,19643.75,3.25,2024-09-03 10:00:00
2024-09-03 22:00:00,18855.5,low,LL,19230.0,-374.5,2024-09-04 18:00:00
2024-09-05 06:00:00,19053.25,high,LH,19647.0,-593.75,2024-09-06 02:00:00
2024-09-06 14:00:00,18377.5,low,LL,18855.5,-478.0,2024-09-09 10:00:00
2024-09-09 22:00:00,18623.5,low,HL,18377.5,246.0,2024-09-10 18:00:00
2024-09-12 10:00:00,19466.0,high,HH,19053.25,412.75,2024-09-13 06:00:00
2024-09-15 18:00:00,19761.75,high,HH,19466.0,295.75,2024-09-16 14:00:00
2024-09-16 14:00:00,19650.25,low,HL,18623.5,1026.75,2024-09-17 10:00:00
2024-09-17 02:00:00,19774.0,high,HH,19761.75,12.25,2024-09-17 22:00:00
2024-09-18 14:00:00,19632.75,low,LL,19650.25,-17.5,2024-09-19 10:00:00
2024-09-19 10:00:00,20193.0,high,HH,19774.0,419.0,2024-09-20 06:00:00
2024-09-20 10:00:00,19995.25,low,HL,19632.75,362.5,2024-09-23 06:00:00
2024-09-22 18:00:00,20131.0,high,LH,20193.0,-62.0,2024-09-23 14:00:00
2024-09-23 18:00:00,20051.0,low,HL,19995.25,55.75,2024-09-24 14:00:00
2024-09-26 02:00:00,20469.25,high,HH,20131.0,338.25,2024-09-26 22:00:00
2024-09-29 22:00:00,20173.5,low,HL,20051.0,122.5,2024-09-30 18:00:00
2024-09-30 18:00:00,20328.75,high,LH,20469.25,-140.5,2024-10-01 14:00:00
2024-10-02 02:00:00,19912.25,low,LL,20173.5,-261.25,2024-10-02 22:00:00
2024-10-02 14:00:00,20056.25,high,LH,20328.75,-272.5,2024-10-03 10:00:00
2024-10-06 18:00:00,20215.5,high,HH,20056.25,159.25,2024-10-07 14:00:00
2024-10-07 22:00:00,19979.0,low,HL,19912.25,66.75,2024-10-08 18:00:00
2024-10-09 18:00:00,20451.0,high,HH,20215.5,235.5,2024-10-10 14:00:00
2024-10-10 06:00:00,20357.5,low,HL,19979.0,378.5,2024-10-11 02:00:00
2024-10-10 18:00:00,20451.0,high,LH,20451.0,0.0,2024-10-11 14:00:00
2024-10-11 06:00:00,20359.75,low,HL,20357.5,2.25,2024-10-14 02:00:00
2024-10-14 06:00:00,20670.75,high,HH,20451.0,219.75,2024-10-15 02:00:00
2024-10-16 06:00:00,20223.75,low,LL,20359.75,-136.0,2024-10-17 02:00:00
2024-10-17 02:00:00,20490.75,high,LH,20670.75,-180.0,2024-10-17 22:00:00
2024-10-21 02:00:00,20424.25,low,HL,20223.75,200.5,2024-10-21 22:00:00
2024-10-22 02:00:00,20384.0,low,LL,20424.25,-40.25,2024-10-22 22:00:00
2024-10-22 10:00:00,20574.5,high,HH,20490.75,83.75,2024-10-23 06:00:00
2024-10-23 10:00:00,20126.25,low,LL,20384.0,-257.75,2024-10-24 06:00:00
2024-10-28 02:00:00,20670.0,high,HH,20574.5,95.5,2024-10-28 22:00:00
2024-10-28 18:00:00,20506.5,low,HL,20126.25,380.25,2024-10-29 14:00:00
2024-10-29 18:00:00,20782.5,high,HH,20670.0,112.5,2024-10-30 14:00:00
2024-10-31 10:00:00,20035.5,low,LL,20506.5,-471.0,2024-11-01 06:00:00
2024-11-03 22:00:00,20237.5,high,LH,20782.5,-545.0,2024-11-04 18:00:00
2024-11-04 18:00:00,20103.0,low,HL,20035.5,67.5,2024-11-05 14:00:00
2024-11-10 22:00:00,21288.0,high,HH,20237.5,1050.5,2024-11-11 18:00:00
2024-11-12 06:00:00,21235.25,high,LH,21288.0,-52.75,2024-11-13 02:00:00
2024-11-12 22:00:00,21118.25,low,HL,20103.0,1015.25,2024-11-13 18:00:00
2024-11-13 10:00:00,21257.25,high,HH,21235.25,22.0,2024-11-14 06:00:00
2024-11-15 10:00:00,20429.0,low,LL,21118.25,-689.25,2024-11-18 06:00:00
2024-11-19 06:00:00,20554.25,low,HL,20429.0,125.25,2024-11-20 02:00:00
2024-11-19 22:00:00,20830.75,high,LH,21257.25,-426.5,2024-11-20 18:00:00
2024-11-20 10:00:00,20589.75,low,HL,20554.25,35.5,2024-11-21 06:00:00
2024-11-21 10:00:00,20857.0,high,HH,20830.75,26.25,2024-11-22 06:00:00
2024-11-25 02:00:00,20978.75,high,HH,20857.0,121.75,2024-11-25 22:00:00
2024-11-25 10:00:00,20851.5,low,HL,20589.75,261.75,2024-11-26 06:00:00
2024-11-26 18:00:00,21005.25,high,HH,20978.75,26.5,2024-11-27 14:00:00
2024-11-27 14:00:00,20806.5,low,LL,20851.5,-45.0,2024-11-28 10:00:00
2024-12-04 14:00:00,21517.0,high,HH,21005.25,511.75,2024-12-05 10:00:00
2024-12-05 14:00:00,21453.25,low,HL,20806.5,646.75,2024-12-06 10:00:00
2024-12-06 10:00:00,21658.25,high,HH,21517.0,141.25,2024-12-09 06:00:00
2024-12-10 06:00:00,21546.75,high,LH,21658.25,-111.5,2024-12-11 02:00:00
