Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,MTH1,MTH2,MTHD,MTHU,MTL1,MTL2,MTLD,MTLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,DTH1,DTH2,DTHD,DTHU,WTH1,WTH2,WTHD,WTHU,DTL1,DTL2,DTLD,DTLU,WTL1,WTL2,WTLD,WTLU
2024-12-31,2026-06-30 05:20:00,29.38,29.98,31.12,29.5109809128,29.55103914,29.17549326,29.2155514872,29.679006,29.75868,28.9474308,29.0633238,32.210068248,32.4058006,30.5708098,30.766542152,32.70712,33.24394,29.4818432,29.8671088,34.959585600000004,36.2560448,34.5466232,36.4521008,28.0696176,27.40116,26.151692,28.4299872,30.5632471092,30.67552101,29.62295319,29.7352270908,30.882398,31.1036504,28.854251,29.2550836,,,,,,,,,,,,,,,,
2025-01-01,2026-06-30 05:20:22,29.38,29.98,31.12,29.5109809128,29.55103914,29.17549326,29.2155514872,29.679006,29.75868,28.9474308,29.0633238,32.210068248,32.4058006,30.5708098,30.766542152,32.70712,33.24394,29.4818432,29.8671088,34.959585600000004,36.2560448,34.5466232,36.4521008,28.0696176,27.40116,26.151692,28.4299872,30.5632471092,30.67552101,29.62295319,29.7352270908,30.882398,31.1036504,28.854251,29.2550836,,,,,,,,,,,,,,,,
2025-01-02,2026-06-30 05:20:42,29.31,29.98,29.31,29.4690305344,29.51046672,29.12200248,29.1634386656,29.65376875,29.733375,28.8783674,28.9939839,30.336667749,30.521015925,28.8783674,28.9939839,30.882398,31.1036504,27.7671216,28.1299794,,,,,,,,,30.5632471092,30.67552101,29.62295319,29.7352270908,30.882398,31.1036504,28.854251,29.2550836,30.03505625,30.2492,29.963675,30.2956125,,,,,,,,,,,,
2025-01-03,2026-06-30 05:21:09,29.985,29.98,29.31,30.1086812846,30.149512155,29.766722745,29.8075536154,30.27965255,30.360939,29.5344697,29.65271295,30.336667749,30.521015925,28.792751775,28.977099951,30.882398,31.1036504,27.7671216,28.1299794,,,,,,,,,30.5632471092,30.67552101,29.62295319,29.7352270908,30.882398,31.1036504,28.854251,29.2550836,30.66898765,30.8876512,30.5960998,30.9350433,,,,,,,,,,,,
2025-01-06,2026-06-30 05:21:33,30.095,30.095,29.31,30.2505978212,30.29193041,29.90443739,29.9457699788,30.4260286,30.507708,29.6676634,29.7864399,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,,,,,,,,,30.6804843813,30.7931889525,29.7365835975,29.8492881687,31.0008595,31.2229606,28.96493275,29.3673029,30.8172458,31.0369664,30.7440056,31.0845876,,,,,,,,,,,,
2025-01-07,2026-06-30 05:21:55,30.485,30.095,29.31,30.6109505046,30.652430655,30.263554245,30.3050343954,30.78439755,30.867039,30.0277797,30.14799795,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,,,,,,,,,30.6804843813,30.7931889525,29.7365835975,29.8492881687,31.0008595,31.2229606,28.96493275,29.3673029,31.18022265,31.4025312,31.1061198,31.4507133,,,,,,,,,,,,
2025-01-08,2026-06-30 05:22:17,30.655,30.095,29.31,30.8224931906,30.863769405,30.476804895,30.5180811094,30.991343,31.07454,30.2448361,30.365923350000003,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,,,,,,,,,30.6804843813,30.7931889525,29.7365835975,29.8492881687,31.0008595,31.2229606,28.96493275,29.3673029,,,,,,,,,,,,,,,,
2025-01-09,2026-06-30 05:22:41,30.73,30.095,29.31,30.8991147286,30.940808255,30.549931445,30.5916249714,31.0721022,31.155516,30.3138995,30.43526325,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,,,,,,,,,30.6804843813,30.7931889525,29.7365835975,29.8492881687,31.0008595,31.2229606,28.96493275,29.3673029,31.4716266,31.6960128,31.3968312,31.7446452,32.1962329,32.8884179,32.0258952,32.92543475,,,,,,,,
2025-01-10,2026-06-30 05:23:03,31.045,30.095,29.31,31.186689339,31.229072875,30.831727225,30.874110761,31.3648543,31.449054,30.5901531,30.71262285,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,30.6804843813,30.7931889525,29.7365835975,29.8492881687,31.0008595,31.2229606,28.96493275,29.3673029,31.7681429,31.9946432,31.6926428,32.0437338,32.1962329,32.8884179,32.0258952,32.92543475,,,,,,,,
2025-01-13,2026-06-30 05:23:24,31.305,31.305,29.31,31.482540493,31.527056925,31.109715375,31.154231807,31.68284365,31.767897,30.8466743,30.97017105,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.9140243747,32.0312603475,30.9321731025,31.0494090753,32.2472805,32.4783114,30.336667749,30.521015925,,,,,,,,,30.4702437,30.1238275,30.12949725,30.5480451,,,,
2025-01-14,2026-06-30 05:23:45,30.305,31.305,29.31,30.5049862826,30.548079905,30.144077195,30.1871708174,30.6985909,30.781002,29.8896529,30.00931815,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.9140243747,32.0312603475,30.9321731025,31.0494090753,32.2472805,32.4783114,30.336667749,30.521015925,,,,,,,,,,,,,29.15841615,28.4205573,27.1295391,29.64990465
2025-01-15,2026-06-30 05:24:09,30.545,31.305,29.31,30.672503966,30.71438195,30.32177585,30.363653834,30.8500144,30.932832,30.0820438,30.2024793,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.9140243747,32.0312603475,30.9321731025,31.0494090753,32.2472805,32.4783114,30.336667749,30.521015925,31.2466832,31.4694656,31.1724224,31.5177504,,,,,,,,,29.15841615,28.4205573,27.1295391,29.64990465
2025-01-16,2026-06-30 05:24:32,31.6,31.305,29.31,31.748539324000003,31.7908535,31.3941581,31.436472276,31.9200738,32.005764,31.1574596,31.2822006,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.9140243747,32.0312603475,30.9321731025,31.0494090753,32.2472805,32.4783114,30.336667749,30.521015925,,,,,,,,,,,,,29.15841615,28.4205573,27.1295391,29.64990465
2025-01-17,2026-06-30 05:25:00,31.605,31.305,29.31,31.7092531834,31.754858345,31.327309955,31.3729151166,31.9200738,32.005764,31.053864500000003,31.17819075,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.9140243747,32.0312603475,30.9321731025,31.0494090753,32.2472805,32.4783114,30.336667749,30.521015925,,,,,,,,,30.6749055,30.3261625,30.336667749,30.521015925,29.15841615,28.4205573,27.1295391,29.64990465
2025-01-20,2026-06-30 05:25:23,31.085,31.085,29.31,31.1680835808,31.21330744,30.78933376,30.8345576192,31.37999665,31.464237,30.5161566,30.6383301,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.6897443759,31.8061564575,30.7147931925,30.8312052741,32.0206585,32.2500658,29.91775825,30.3333647,,,,,,,,,,,,,,,,
2025-01-21,2026-06-30 05:25:46,31.205,31.085,29.31,31.4487647304,31.49482882,31.06297798,31.1090420696,31.6677013,31.752714,30.782544,30.905784,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.6897443759,31.8061564575,30.7147931925,30.8312052741,32.0206585,32.2500658,29.91775825,30.3333647,,,,,,,,,,,,,,,,
2025-01-22,2026-06-30 05:26:06,31.555,31.085,29.31,31.6589243336,31.70319138,31.28818782,31.3324548664,31.85445695,31.939971,31.029199,31.1534265,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.6897443759,31.8061564575,30.7147931925,30.8312052741,32.0206585,32.2500658,29.91775825,30.3333647,,,,,,,,,,,,,,,,
2025-01-23,2026-06-30 05:26:28,31.385,31.085,29.31,31.4981981832,31.54225746,31.12920174,31.1732610168,31.69293855,31.778019,30.8713398,30.9949353,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.6897443759,31.8061564575,30.7147931925,30.8312052741,32.0206585,32.2500658,29.91775825,30.3333647,,,,,,,,,30.4946082,30.147915,29.91775825,30.3333647,,,,
2025-01-24,2026-06-30 05:26:51,30.84,31.085,29.31,30.9901128018,31.031446565,30.643942535,30.6852762982,31.15790885,31.241553,30.4125615,30.53432025,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.6897443759,31.8061564575,30.7147931925,30.8312052741,32.0206585,32.2500658,29.91775825,30.3333647,31.55853655,31.7835424,31.4835346,31.8323091,,,,,,,,,,,,
2025-01-27,2026-06-30 05:27:12,30.995,30.995,29.31,31.0346474434,31.083358845000003,30.626689455,30.675400856600003,31.28914255,31.373139,30.3138995,30.43526325,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.5979934673,31.7140685025,30.6258650475,30.7419400827,31.9279495,32.1566926,29.83113775,30.2455409,,,,,,,,,29.9439705,29.6035375,29.4462255,30.0939085,,,,
2025-01-28,2026-06-30 05:27:33,30.575,30.995,29.31,30.7046128156,30.74764623,30.34420797,30.3872413844,30.89544145,30.978381,30.09191,30.212385,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.5979934673,31.7140685025,30.6258650475,30.7419400827,31.9279495,32.1566926,29.83113775,30.2455409,,,,,,,,,,,,,,,,
2025-01-29,2026-06-30 05:27:56,30.94,30.995,29.31,31.0654531848,31.10688434,30.71846726,30.7598984152,31.2336206,31.317468,30.486558,30.608613,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.5979934673,31.7140685025,30.6258650475,30.7419400827,31.9279495,32.1566926,29.83113775,30.2455409,31.6352218,31.8607744,31.5600376,31.9096596,,,,,,,,,,,,
2025-01-30,2026-06-30 05:28:20,31.58,30.995,29.31,31.7542535576,31.79737078,31.39314682,31.4362640424,31.93521615,32.020947,31.1475934,31.2722949,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.5979934673,31.7140685025,30.6258650475,30.7419400827,31.9279495,32.1566926,29.83113775,30.2455409,32.34583845,32.576457600000005,32.2689654,32.6264409,33.1590709,33.8719559,32.9836392,33.91007975,,,,,,,,
2025-01-31,2026-06-30 05:28:45,32.765,30.995,29.31,32.9447335368,32.990662740000005,32.56007646,32.6060056632,33.14660415,33.235587,32.2920726,32.4213561,30.336667749,30.521015925,28.792751775,28.977099951,30.80481,31.3104075,27.7671216,28.1299794,32.9262678,34.1473224,32.5373241,34.3319754,,,,,31.5979934673,31.7140685025,30.6258650475,30.7419400827,31.9279495,32.1566926,29.83113775,30.2455409,,,,,33.1590709,33.8719559,32.9836392,33.91007975,31.8980034,31.535355,31.5979934673,31.7140685025,,,,
2025-02-03,2026-06-30 05:29:06,32.46,32.46,32.46,32.49480976939999,32.558775794999995,31.959094305,32.0230603306,32.91442145,33.002781,31.4879773,31.61404155,33.597005634000006,33.801166050000006,31.959094305,32.0230603306,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.0914943684,33.213055770000004,32.07341763,32.1949790316,33.437046,33.6766008,31.241127,31.675117200000003,,,,,,,,,,,,,,,,
2025-02-04,2026-06-30 05:29:28,32.54,32.46,32.46,32.6571589264,32.702398120000005,32.27828068,32.3235198736,32.85385205,32.942049000000004,32.07341763,32.1949790316,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.0914943684,33.213055770000004,32.07341763,32.1949790316,33.437046,33.6766008,31.241127,31.675117200000003,33.276286150000004,33.513539200000004,33.1972018,33.5649603,,,,,,,,,,,,
2025-02-05,2026-06-30 05:29:47,32.87,32.46,32.46,33.0182031512,33.064386459999994,32.63141794,32.677601248799995,33.2223159,33.311502,32.361135999999995,32.490696,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.0914943684,33.213055770000004,32.07341763,32.1949790316,33.437046,33.6766008,31.241127,31.675117200000003,,,,,,,,,,,,,,,,
2025-02-06,2026-06-30 05:30:08,32.755,32.46,32.46,32.927103150200004,32.972373035000004,32.547967865000004,32.593237749800004,33.121366900000005,33.210282,32.2871395,32.41640325,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.0914943684,33.213055770000004,32.07341763,32.1949790316,33.437046,33.6766008,31.241127,31.675117200000003,,,,,,,,,31.8931305,31.5305375,31.3629855,32.052828500000004,,,,
2025-02-07,2026-06-30 05:30:29,32.65,32.46,32.46,32.8114793018,32.855326665,32.444257635,32.4881049982,32.9901332,33.078696,32.198343699999995,32.32725195,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.0914943684,33.213055770000004,32.07341763,32.1949790316,33.437046,33.6766008,31.241127,31.675117200000003,33.4143196,33.6525568,33.437046,33.6766008,,,,,31.8054183,31.4438225,31.241127,31.675117200000003,,,,
2025-02-10,2026-06-30 05:30:50,32.18,32.18,32.46,32.3045951008,32.352879439999995,31.90021376,31.9484980992,32.54091015,32.628267,31.6014386,31.7279571,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,32.8060470972,32.92655991,31.79675229,31.9172651028,33.148618,33.3861064,30.971641,31.4018876,32.95932045,33.1943136,32.8809894,33.2452449,,,,,,,,,,,,
2025-02-11,2026-06-30 05:31:11,32.495,32.18,32.46,32.6389389262,32.683995435,32.261590665,32.3066471738,32.83366225,32.921805,32.0010197,32.12913795,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,32.8060470972,32.92655991,31.79675229,31.9172651028,33.148618,33.3861064,30.971641,31.4018876,,,,,,,,,31.610502300000004,31.2511225,31.0850553,31.7687851,,,,
2025-02-12,2026-06-30 05:31:32,32.255,32.18,32.46,32.4202989238,32.463163214999994,32.061310485,32.1041747762,32.591384649999995,32.678877,31.79675229,31.9172651028,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,32.8060470972,32.92655991,31.79675229,31.9172651028,33.148618,33.3861064,30.971641,31.4018876,33.01044395,33.24580159999999,32.931991399999994,33.296811899999994,,,,,,,,,,,,
2025-02-13,2026-06-30 05:31:53,32.71,32.18,32.46,32.8787469968,32.92379524,32.50146796,32.5465162032,33.0708924,33.159672,32.2427416,32.3718276,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,32.8060470972,32.92655991,31.79675229,31.9172651028,33.148618,33.3861064,30.971641,31.4018876,,,,,,,,,,,,,,,,
2025-02-14,2026-06-30 05:32:17,32.99,32.18,32.46,33.163271611400006,33.210119845,32.770917655000005,32.8177658886,33.373739400000005,33.463332,32.4943297,32.62442295,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,32.8060470972,32.92655991,31.79675229,31.9172651028,33.148618,33.3861064,30.971641,31.4018876,33.8028582,34.043865600000004,33.7225224,34.096100400000005,34.4268076,35.1669476,34.2446688,35.206529,,,,,,,,
2025-02-17,2026-06-30 05:32:42,32.68,32.68,32.46,32.752306248,32.801965,32.3364142,32.386072952,33.0002281,33.088818,32.0256852,32.1539022,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.3157743672,33.43815966,32.3364142,32.386072952,33.597005634000006,33.801166050000006,31.452866,31.8897976,,,,,,,,,,,,,,,,
2025-02-18,2026-06-30 05:33:03,32.88,32.68,32.46,33.0068766118,33.052727015,32.622879485,32.6687298882,33.20717355,33.296319000000004,32.3562029,32.485743150000005,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.3157743672,33.43815966,32.29079754,32.4131828328,33.597005634000006,33.801166050000006,31.452866,31.8897976,33.63415065,33.873955200000005,33.597005634000006,33.801166050000006,,,,,,,,,,,,
2025-02-19,2026-06-30 05:33:25,33.42,32.68,32.46,33.571186979,33.616334675,33.193075025,33.238222721,33.7573456,33.847967999999995,32.9383087,33.07017945,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.3157743672,33.43815966,32.29079754,32.4131828328,33.597005634000006,33.801166050000006,31.452866,31.8897976,,,,,,,,,32.536353299999995,32.1664475,32.29079754,32.4131828328,,,,
2025-02-20,2026-06-30 05:33:46,33.15,32.68,32.46,33.3131589082,33.358132185,32.936507715,32.9814809918,33.49992565,33.589857,32.6817875,32.81263125,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.3157743672,33.43815966,32.29079754,32.4131828328,33.597005634000006,33.801166050000006,31.452866,31.8897976,33.93066695,34.172585600000005,33.8500274,34.225017900000005,,,,,,,,,,,,
2025-02-21,2026-06-30 05:34:11,33.45,32.68,32.46,33.597581595,33.643081675,33.216518425000004,33.262018505,33.7876303,33.878333999999995,32.9580411,33.08999085,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.3157743672,33.43815966,32.29079754,32.4131828328,33.597005634000006,33.801166050000006,31.452866,31.8897976,,,,,,,,,32.555844900000004,32.1857175,32.29079754,32.4131828328,,,,
2025-02-24,2026-06-30 05:34:33,32.855,32.855,32.46,33.135901623799995,33.185897115,32.717189385,32.7671848762,33.383834300000004,33.473454000000004,32.4637133775,32.5867540383,33.597005634000006,33.801166050000006,31.88716215,32.091322566,34.11546,34.675395,30.7513056,31.1531604,,,,,,,,,33.4941789117,33.6172195725,32.4637133775,32.5867540383,33.84393549999999,34.0864054,31.62129475,32.0605661,,,,,,,,,32.0100801,31.6461575,31.62129475,32.0605661,,,,
