Date,Scraped_At,dOpen,wOpen,mOpen,DIHD,DIHU,DILD,DILU,DRHD,DRHU,DRLD,DRLU,MIHD,MIHU,MILD,MILU,MRHD,MRHU,MRLD,MRLU,MTL1,MTL2,MTLD,MTLU,WIHD,WIHU,WILD,WILU,WRHD,WRHU,WRLD,WRLU,WTL1,WTL2,WTLD,WTLU,DTL1,DTL2,DTLD,DTLU,DTH1,DTH2,DTHD,DTHU,WTH1,WTH2,WTHD,WTHU,MTH1,MTH2,MTHD,MTHU
2024-12-31,2026-06-30 09:18:05,42915.0,43300.0,45048.0,43007.474490780005,43037.1392815,42759.0318685,42788.69665922,43109.59296,43210.91012,42591.05237,42693.08535,45732.1259568,45874.40556,44540.53428,44682.8138832,46115.6376,46476.92256,43574.9304,44019.10368,42465.39816,41651.83128,41456.77344,42984.35112,43475.115592,43542.5666,42910.2134,42977.664408,43783.661,43926.551,42647.902,42813.741,42080.672,41621.692,41602.207,42172.468,,,,,,,,,,,,,,,,
2025-01-01,2026-06-30 09:19:23,42915.0,43300.0,45048.0,43007.474490780005,43037.1392815,42759.0318685,42788.69665922,43109.59296,43210.91012,42591.05237,42693.08535,45732.1259568,45874.40556,44540.53428,44682.8138832,46115.6376,46476.92256,43574.9304,44019.10368,42465.39816,41651.83128,41456.77344,42984.35112,43475.115592,43542.5666,42910.2134,42977.664408,43783.661,43926.551,42647.902,42813.741,42080.672,41621.692,41602.207,42172.468,,,,,,,,,,,,,,,,
2025-01-02,2026-06-30 09:20:01,42935.0,43300.0,42935.0,43025.16851592,43058.004626,42750.166094,42783.00220408,43164.82176,43266.26872,42547.33969,42649.26795,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43475.115592,43542.5666,42910.2134,42977.664408,43783.661,43926.551,42647.902,42813.741,42080.672,41621.692,41602.207,42172.468,42279.67094,42129.34817,42006.00641,42391.02114,,,,,,,,,,,,
2025-01-03,2026-06-30 09:20:35,42707.0,43300.0,42935.0,42789.10298268,42818.53111900001,42542.642341,42572.070477320005,42910.2134,42977.664408,42376.46285,42477.98175,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43475.115592,43542.5666,42910.2134,42977.664408,43783.661,43926.551,42647.902,42813.741,42080.672,41621.692,41602.207,42172.468,,,,,43219.84568,43360.36816,43140.40136,43509.43304,,,,,,,,
2025-01-06,2026-06-30 09:21:38,43024.0,43024.0,42935.0,43125.00878292,43154.557901,42877.534919,42907.08403708,43225.07136,43326.65992,42711.26224,42813.5832,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43197.99938176,43265.020448,42636.697952,42703.71901824,43504.57808,43646.55728,42451.337225,42586.943129,,,,,,,,,43557.81694,43699.43828,43587.036671,43722.642575,,,,,,,,
2025-01-07,2026-06-30 09:22:05,43028.0,43024.0,42935.0,43129.15004598,43158.6060815,42882.4557485,42911.91178402,43228.08384,43329.67948,42717.22306,42819.5583,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43197.99938176,43265.020448,42636.697952,42703.71901824,43504.57808,43646.55728,42451.337225,42586.943129,,,,,42448.48556,42297.56258,42173.72834,42560.28036,,,,,,,,,,,,
2025-01-08,2026-06-30 09:22:34,42786.0,43024.0,42935.0,42889.95815922,42919.4832885,42642.6852015,42672.21033078,42991.10208,43092.14076,42475.80985,42577.56675,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43197.99938176,43265.020448,42636.697952,42703.71901824,43504.57808,43646.55728,42451.337225,42586.943129,,,,,,,,,,,,,,,,,,,,
2025-01-09,2026-06-30 09:23:00,42882.0,43024.0,42935.0,42964.27906746,42993.5010505,42719.5449595,42748.76694254,43061.39328,43162.59716,42556.28092,42658.2306,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43197.99938176,43265.020448,42636.697952,42703.71901824,43504.57808,43646.55728,42451.337225,42586.943129,,,,,,,,,,,,,,,,,,,,
2025-01-10,2026-06-30 09:23:25,42821.0,43024.0,42935.0,42879.0351543,42910.6598375,42614.1784325,42645.8031157,43005.16032,43106.23204,42424.14941,42525.78255,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,43197.99938176,43265.020448,42636.697952,42703.71901824,43504.57808,43646.55728,42451.337225,42586.943129,41812.44416,41356.38976,41531.0255,41954.3646,42157.25566,42007.36813,41884.38349,42268.28346,,,,,,,,,,,,
2025-01-13,2026-06-30 09:23:53,42206.0,42206.0,42935.0,42292.0238133,42323.7485125,42026.3294575,42058.0541567,42422.74752,42522.45044,41826.061588,41891.80840656,43587.036671,43722.642575,42451.337225,42586.943129,43952.5595,44296.8982,41531.0255,41954.3646,,,,,42376.69119344,42442.438012,41826.061588,41891.80840656,42677.44102,42816.72082,41570.37764,41732.02662,,,,,,,,,42749.31683,42888.30946,42670.73741,43035.75149,,,,,,,,
