i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
0,1735754400,,nonentry,2025-01-01 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
1,1735758000,,nonentry,2025-01-01 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
2,1735761600,,nonentry,2025-01-01 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3,1735765200,,nonentry,2025-01-01 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
4,1735768800,,nonentry,2025-01-01 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
5,1735772400,,nonentry,2025-01-01 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
6,1735776000,,nonentry,2025-01-02 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
7,1735779600,,nonentry,2025-01-02 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
8,1735783200,,nonentry,2025-01-02 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
9,1735786800,,nonentry,2025-01-02 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
10,1735790400,,nonentry,2025-01-02 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
11,1735794000,,nonentry,2025-01-02 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
12,1735797600,,nonentry,2025-01-02 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
13,1735801200,L1,entry,2025-01-02 07:00,entered,,ENTRY,short,,5989.25,1735810380,5956.65,TAKE_PROFIT_HARD,1630.0000000000182,1630.0,0.0,True,L1,
14,1735804800,L1,nonentry,2025-01-02 08:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
15,1735808400,L1,nonentry,2025-01-02 09:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
16,1735812000,L2,entry,2025-01-02 10:00,entered,,ENTRY,short,,5974.75,1735813860,5941.25,TAKE_PROFIT_HARD,1675.0,1675.0,0.0,True,L2,
17,1735815600,,nonentry,2025-01-02 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
18,1735819200,,nonentry,2025-01-02 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
19,1735822800,L1,entry,2025-01-02 13:00,entered,,ENTRY,long,,5899.0,1735822920,5888.75,STOP_LOSS_SOFT,-512.5,1117.5,512.5,True,L1,
20,1735826400,,nonentry,2025-01-02 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
21,1735830000,,nonentry,2025-01-02 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
22,1735833600,L1,entry,2025-01-02 16:00,entered,,ENTRY,short,,5917.25,1735846080,5926.5,STOP_LOSS_SOFT,-462.5,655.0,975.0,True,L1,
23,1735840800,L1,nonentry,2025-01-02 18:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
24,1735844400,L1,nonentry,2025-01-02 19:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
25,1735848000,,nonentry,2025-01-02 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
26,1735851600,,nonentry,2025-01-02 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
27,1735855200,,nonentry,2025-01-02 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
28,1735858800,,nonentry,2025-01-02 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
29,1735862400,,nonentry,2025-01-03 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
30,1735866000,,nonentry,2025-01-03 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
31,1735869600,,nonentry,2025-01-03 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
32,1735873200,,nonentry,2025-01-03 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
33,1735876800,,nonentry,2025-01-03 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
34,1735880400,,nonentry,2025-01-03 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
35,1735884000,,nonentry,2025-01-03 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
36,1735887600,,nonentry,2025-01-03 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
37,1735891200,,nonentry,2025-01-03 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
38,1735894800,,nonentry,2025-01-03 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
39,1735898400,,nonentry,2025-01-03 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
40,1735902000,,nonentry,2025-01-03 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
41,1735905600,,nonentry,2025-01-03 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
42,1735909200,,nonentry,2025-01-03 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
43,1735912800,,nonentry,2025-01-03 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
44,1735916400,,nonentry,2025-01-03 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
45,1735920000,,nonentry,2025-01-03 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
46,1736100000,,nonentry,2025-01-05 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
47,1736103600,,nonentry,2025-01-05 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
48,1736107200,,nonentry,2025-01-05 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
49,1736110800,,nonentry,2025-01-05 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
50,1736114400,,nonentry,2025-01-05 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
51,1736118000,,nonentry,2025-01-05 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
52,1736121600,,nonentry,2025-01-06 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
53,1736125200,,nonentry,2025-01-06 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
54,1736128800,,nonentry,2025-01-06 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
55,1736132400,,nonentry,2025-01-06 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
56,1736136000,,nonentry,2025-01-06 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
57,1736139600,,nonentry,2025-01-06 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
58,1736143200,,nonentry,2025-01-06 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
59,1736146800,,nonentry,2025-01-06 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
