i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
0,1704132000,,nonentry,2024-01-01 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
1,1704135600,,nonentry,2024-01-01 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
2,1704139200,,nonentry,2024-01-01 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3,1704142800,,nonentry,2024-01-01 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
4,1704146400,,nonentry,2024-01-01 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
5,1704150000,,nonentry,2024-01-01 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
6,1704153600,,nonentry,2024-01-02 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
7,1704157200,,nonentry,2024-01-02 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
8,1704160800,,nonentry,2024-01-02 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
9,1704164400,,nonentry,2024-01-02 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
10,1704168000,,nonentry,2024-01-02 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
11,1704171600,,nonentry,2024-01-02 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
12,1704175200,,nonentry,2024-01-02 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
13,1704178800,,nonentry,2024-01-02 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
14,1704182400,,nonentry,2024-01-02 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
15,1704186000,,nonentry,2024-01-02 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
16,1704189600,,nonentry,2024-01-02 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
17,1704193200,,nonentry,2024-01-02 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
18,1704196800,,nonentry,2024-01-02 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
19,1704200400,,nonentry,2024-01-02 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
20,1704204000,,nonentry,2024-01-02 14:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
21,1704207600,,nonentry,2024-01-02 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
22,1704211200,L1,entry,2024-01-02 16:00,entered,,ENTRY,long,,16721.0,1704254820,16667.0,STOP_LOSS_SOFT,-1080.0,-1080.0,1080.0,True,L1,
23,1704218400,L1,nonentry,2024-01-02 18:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
24,1704222000,L1,nonentry,2024-01-02 19:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
25,1704225600,L1,nonentry,2024-01-02 20:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
26,1704229200,L1,nonentry,2024-01-02 21:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
27,1704232800,L1,nonentry,2024-01-02 22:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
28,1704236400,L1,nonentry,2024-01-02 23:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
29,1704240000,L1,nonentry,2024-01-03 00:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
