median_pnl,worst_dd,sl_soft,sl_hard,tp,gate_pct,dd_limit,cooldown,flip
-109.3,3682.6,35.4,36.5,36.0,35.3,2460.0,2,False
2995.9,4024.9,35.4,36.5,54.2,35.3,2828.0,1,False
3832.7,4523.2,29.8,47.8,36.0,67.9,4333.0,0,False
3832.7,4523.2,29.8,47.8,36.0,67.9,4333.0,0,False
4341.2,4577.4,35.4,57.5,38.7,67.9,4152.0,0,False
4809.3,4749.1,107.5,134.0,36.0,35.3,2460.0,2,False
4809.3,4749.1,107.5,134.0,36.0,35.3,2460.0,2,False
6671.3,5097.2,29.8,46.0,54.2,63.4,1514.0,0,False
6967.2,6378.9,105.2,106.3,45.5,63.4,1215.0,2,False
11042.3,7244.4,110.6,137.1,36.0,63.4,4152.0,1,False
11042.3,7244.4,110.6,137.1,36.0,63.4,2529.0,1,False
11042.3,7244.4,110.6,137.1,36.0,63.4,4152.0,1,False
11042.3,7244.4,110.6,137.1,36.0,63.4,2529.0,1,False
11042.3,7244.4,110.6,137.1,36.0,63.4,4152.0,1,False
22833.0,11295.5,107.5,119.3,132.9,69.0,107.0,2,False
24562.2,12000.0,107.5,149.0,132.9,67.9,107.0,2,False
24562.2,12000.0,107.5,149.0,132.9,67.9,107.0,2,False
27645.8,17255.4,112.5,129.5,132.9,70.0,4015.0,0,False
