median_pnl,worst_dd,sl_soft,sl_hard,tp,gate_pct,dd_limit,cooldown,flip
326.7,290.0,9.7,33.8,11.4,5.7,2623.0,25,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,37.2,11.4,5.7,3149.0,0,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,2623.0,25,False
326.7,290.0,9.7,33.8,11.4,5.7,2805.0,24,False
326.7,290.0,9.7,33.8,11.4,5.7,2623.0,18,False
326.7,290.0,9.7,33.9,11.4,5.7,3149.0,0,False
326.7,290.0,9.7,33.8,11.4,5.7,2623.0,18,False
326.7,290.0,9.7,33.9,11.4,5.7,2799.0,20,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,20,False
326.7,290.0,9.7,28.1,11.4,5.7,2623.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,37.2,11.4,5.7,3149.0,0,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,33.9,11.4,5.7,3998.0,24,False
326.7,290.0,9.7,38.4,11.4,5.7,3149.0,25,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,28.1,11.4,5.7,2623.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,2623.0,5,False
326.7,290.0,9.7,33.8,11.4,5.7,2623.0,25,False
326.7,290.0,9.7,33.8,11.4,5.7,1916.0,27,False
326.7,290.0,9.7,33.8,11.4,5.7,2623.0,19,False
326.7,290.0,9.7,33.9,11.4,5.7,3149.0,3,False
326.7,290.0,9.7,28.1,11.4,5.7,2623.0,18,False
326.7,290.0,9.7,33.6,11.4,5.7,3149.0,24,False
326.7,290.0,9.7,27.8,11.4,5.7,2623.0,12,False
326.7,290.0,9.7,28.1,11.4,5.7,2623.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,3998.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,2623.0,18,False
326.7,290.0,9.7,37.2,11.4,5.7,2623.0,0,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,3160.0,19,False
326.7,290.0,9.7,33.8,11.4,5.7,2623.0,25,False
326.7,290.0,9.7,33.8,11.4,5.7,2623.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,2451.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,3149.0,27,False
326.7,290.0,9.7,33.8,11.4,5.7,3513.0,0,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,37.2,11.4,5.7,3149.0,0,False
326.7,290.0,9.7,24.5,11.4,5.7,3998.0,13,False
326.7,290.0,9.7,37.7,11.4,5.7,3149.0,0,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,0,False
326.7,290.0,9.7,28.1,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,2805.0,24,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
326.7,290.0,9.7,33.8,11.4,5.7,2799.0,18,False
